Rank RbOfPG,Team,Conference,Games,Offensive Rebounds,Offensive Rebounds Per Game,Season
208,Cleveland St. ,Horizon ,35,378,10.8,2023-2024
208,Saint Francis PA,NEC ,30,324,10.8,2023-2024
210,BYU ,Big 12 ,33,356,10.8,2023-2024
211,Montana St. ,Big Sky ,33,355,10.8,2023-2024
212,Milwaukee ,Horizon ,32,344,10.8,2023-2024
212,South Dakota ,Summit League ,36,387,10.8,2023-2024
212,Western Ky. ,CUSA ,32,344,10.8,2023-2024
215,Davidson ,Atlantic 10 ,26,279,10.7,2023-2024
216,Alabama St. ,SWAC ,29,311,10.7,2023-2024
217,Utah ,Pac-12 ,34,364,10.7,2023-2024
218,Montana ,Big Sky ,33,353,10.7,2023-2024
219,Seton Hall ,Big East ,32,341,10.7,2023-2024
219,Tulane ,AAC ,32,341,10.7,2023-2024
221,Bryant ,America East ,30,319,10.6,2023-2024
222,Evansville ,MVC ,32,340,10.6,2023-2024
223,SMU ,AAC ,30,318,10.6,2023-2024
224,Hampton ,CAA ,29,306,10.6,2023-2024
225,Middle Tenn. ,CUSA ,35,369,10.5,2023-2024
226,Oregon ,Pac-12 ,32,337,10.5,2023-2024
227,Purdue ,Big Ten ,34,358,10.5,2023-2024
228,McNeese ,Southland ,31,326,10.5,2023-2024
229,Arizona ,Pac-12 ,34,357,10.5,2023-2024
229,California Baptist ,WAC ,32,336,10.5,2023-2024
229,ETSU ,SoCon ,30,315,10.5,2023-2024
232,Georgia Tech ,ACC ,33,346,10.5,2023-2024
233,SIUE ,OVC ,31,325,10.5,2023-2024
234,Nicholls ,Southland ,32,335,10.5,2023-2024
235,Robert Morris ,Horizon ,30,314,10.5,2023-2024
236,TCU ,Big 12 ,33,345,10.5,2023-2024
237,UMBC ,America East ,29,303,10.4,2023-2024
237,UTRGV ,WAC ,29,303,10.4,2023-2024
239,Cornell ,Ivy League ,26,271,10.4,2023-2024
240,UC Santa Barbara ,Big West ,31,323,10.4,2023-2024
241,Penn St. ,Big Ten ,35,364,10.4,2023-2024
242,Bowling Green ,MAC ,31,322,10.4,2023-2024
243,IU Indy ,Horizon ,30,311,10.4,2023-2024
243,Manhattan ,MAAC ,30,311,10.4,2023-2024
245,Detroit Mercy ,Horizon ,33,342,10.4,2023-2024
246,Wisconsin ,Big Ten ,32,331,10.3,2023-2024
247,Northwestern ,Big Ten ,30,310,10.3,2023-2024
248,CSUN ,Big West ,30,309,10.3,2023-2024
249,Washington ,Pac-12 ,31,319,10.3,2023-2024
250,UAB ,AAC ,32,329,10.3,2023-2024
250,UNI ,MVC ,32,329,10.3,2023-2024
252,Campbell ,CAA ,31,317,10.2,2023-2024
253,Weber St. ,Big Sky ,33,337,10.2,2023-2024
254,Cal St. Fullerton ,Big West ,31,316,10.2,2023-2024
255,West Virginia ,Big 12 ,33,336,10.2,2023-2024
256,Purdue Fort Wayne ,Horizon ,36,366,10.2,2023-2024
257,Pacific ,WCC ,34,345,10.1,2023-2024
258,American ,Patriot ,30,304,10.1,2023-2024
259,Marquette ,Big East ,32,324,10.1,2023-2024
260,Sacramento St. ,Big Sky ,31,313,10.1,2023-2024
261,Central Ark. ,ASUN ,33,333,10.1,2023-2024
262,Southeastern La. ,Southland ,31,312,10.1,2023-2024
263,Drake ,MVC ,35,352,10.1,2023-2024
264,Loyola Chicago ,Atlantic 10 ,31,311,10,2023-2024
265,Alcorn ,SWAC ,32,321,10,2023-2024
265,USC Upstate ,Big South ,32,321,10,2023-2024
267,UConn ,Big East ,39,391,10,2023-2024
268,Duquesne ,Atlantic 10 ,34,340,10,2023-2024
268,Marist ,MAAC ,31,310,10,2023-2024
268,Miami OH,MAC ,29,290,10,2023-2024
268,Samford ,SoCon ,30,300,10,2023-2024
272,South Dakota St. ,Summit League ,33,329,10,2023-2024
273,William & Mary ,CAA ,29,289,10,2023-2024
274,Presbyterian ,Big South ,36,356,9.9,2023-2024
275,Iowa St. ,Big 12 ,33,326,9.9,2023-2024
276,Ohio St. ,Big Ten ,32,316,9.9,2023-2024
277,Saint Peter's ,MAAC ,30,295,9.8,2023-2024
277,Southern U. ,SWAC ,30,295,9.8,2023-2024
279,South Carolina St. ,MEAC ,30,294,9.8,2023-2024
279,Western Caro. ,SoCon ,30,294,9.8,2023-2024
281,Buffalo ,MAC ,33,323,9.8,2023-2024
282,New Mexico ,Mountain West ,32,313,9.8,2023-2024
283,Arkansas ,SEC ,33,322,9.8,2023-2024
284,Mount St. Mary's ,MAAC ,31,302,9.7,2023-2024
285,Saint Joseph's ,Atlantic 10 ,34,331,9.7,2023-2024
286,Washington St. ,Pac-12 ,36,349,9.7,2023-2024
287,Northern Ky. ,Horizon ,31,299,9.6,2023-2024
288,Belmont ,MVC ,35,336,9.6,2023-2024
289,Utah St. ,Mountain West ,30,287,9.6,2023-2024
290,Colgate ,Patriot ,34,325,9.6,2023-2024
291,Youngstown St. ,Horizon ,32,304,9.5,2023-2024
292,Portland St. ,Big Sky ,31,294,9.5,2023-2024
293,North Ala. ,ASUN ,30,284,9.5,2023-2024
294,Louisiana Tech ,CUSA ,33,310,9.4,2023-2024
295,Kansas St. ,Big 12 ,34,319,9.4,2023-2024
296,Creighton ,Big East ,32,299,9.3,2023-2024
297,Butler ,Big East ,32,298,9.3,2023-2024
298,Wake Forest ,ACC ,32,297,9.3,2023-2024
299,Ball St. ,MAC ,34,312,9.2,2023-2024
300,UMass Lowell ,America East ,29,266,9.2,2023-2024
301,Tulsa ,AAC ,35,321,9.2,2023-2024
302,Northeastern ,CAA ,27,247,9.1,2023-2024
303,St. Bonaventure ,Atlantic 10 ,30,274,9.1,2023-2024
304,Green Bay ,Horizon ,34,310,9.1,2023-2024
305,Central Conn. St. ,NEC ,30,273,9.1,2023-2024
306,Idaho ,Big Sky ,31,282,9.1,2023-2024
307,Illinois St. ,MVC ,34,309,9.1,2023-2024
308,CSU Bakersfield ,Big West ,29,263,9.1,2023-2024
309,Kansas ,Big 12 ,33,298,9,2023-2024
310,Michigan St. ,Big Ten ,31,279,9,2023-2024
311,Oregon St. ,Pac-12 ,35,314,9,2023-2024
312,San Diego St. ,Mountain West ,35,313,8.9,2023-2024
313,Austin Peay ,ASUN ,33,293,8.9,2023-2024
314,Massachusetts ,Atlantic 10 ,32,283,8.8,2023-2024
