Rank ScMrg,Team,Conference,Games,Wins,Losses,Points,Points Per Game,Opponent Points,Opponent Points Per Game,Scoring Margin,Season
183,Niagara ,MAAC ,35,21,14,"2,479",70.8,"2,455",70.1,0.7,2023-2024
184,William & Mary ,CAA ,29,15,14,"1,833",63.2,"1,814",62.6,0.7,2023-2024
185,Arkansas ,SEC ,33,18,15,"2,292",69.5,"2,271",68.8,0.6,2023-2024
186,Butler ,Big East ,32,15,17,"2,001",62.5,"1,985",62,0.5,2023-2024
186,Manhattan ,MAAC ,30,18,12,"1,717",57.2,"1,702",56.7,0.5,2023-2024
188,Mercer ,SoCon ,32,15,17,"2,073",64.8,"2,059",64.3,0.4,2023-2024
189,Fordham ,Atlantic 10 ,29,12,17,"1,811",62.4,"1,803",62.2,0.3,2023-2024
190,George Washington ,Atlantic 10 ,31,13,18,"1,812",58.5,"1,804",58.2,0.3,2023-2024
191,UC Riverside ,Big West ,32,18,14,"1,868",58.4,"1,865",58.3,0.1,2023-2024
192,UT Martin ,OVC ,33,16,17,"2,086",63.2,"2,085",63.2,0,2023-2024
193,Purdue ,Big Ten ,34,15,19,"2,318",68.2,"2,321",68.3,-0.1,2023-2024
194,Alabama A&M ,SWAC ,31,15,16,"1,914",61.7,"1,918",61.9,-0.1,2023-2024
194,N.C. Central ,MEAC ,31,16,15,"2,038",65.7,"2,042",65.9,-0.1,2023-2024
196,DePaul ,Big East ,32,12,20,"2,279",71.2,"2,284",71.4,-0.2,2023-2024
197,Cal Poly ,Big West ,31,17,14,"1,878",60.6,"1,884",60.8,-0.2,2023-2024
198,Louisiana Tech ,CUSA ,33,14,19,"2,058",62.4,"2,066",62.6,-0.2,2023-2024
199,Nicholls ,Southland ,32,14,18,"2,013",62.9,"2,021",63.2,-0.3,2023-2024
200,San Francisco ,WCC ,30,14,16,"2,005",66.8,"2,014",67.1,-0.3,2023-2024
201,BYU ,Big 12 ,33,16,17,"2,158",65.4,"2,169",65.7,-0.3,2023-2024
202,Bryant ,America East ,30,15,15,"1,817",60.6,"1,830",61,-0.4,2023-2024
203,UCF ,Big 12 ,29,12,17,"1,860",64.1,"1,873",64.6,-0.4,2023-2024
204,Loyola Chicago ,Atlantic 10 ,31,15,16,"1,947",62.8,"1,962",63.3,-0.5,2023-2024
205,Wright St. ,Horizon ,33,18,15,"2,316",70.2,"2,336",70.8,-0.6,2023-2024
206,Clemson ,ACC ,31,12,19,"2,158",69.6,"2,178",70.3,-0.6,2023-2024
206,Louisiana ,Sun Belt ,31,17,14,"1,809",58.4,"1,829",59,-0.6,2023-2024
208,Nevada ,Mountain West ,32,16,16,"2,057",64.3,"2,080",65,-0.7,2023-2024
209,Houston ,Big 12 ,30,14,16,"2,030",67.7,"2,059",68.6,-1,2023-2024
210,Liberty ,CUSA ,34,18,16,"2,234",65.7,"2,267",66.7,-1,2023-2024
211,UNC Asheville ,Big South ,31,11,20,"1,845",59.5,"1,876",60.5,-1,2023-2024
212,Stetson ,ASUN ,32,17,15,"1,849",57.8,"1,882",58.8,-1,2023-2024
213,New Mexico St. ,CUSA ,31,13,18,"1,874",60.5,"1,906",61.5,-1,2023-2024
