Rank TOMrg,Team,Conference,Games,Wins,Losses,Turnovers,Opponents Turnovers,Margin,Season
40,Southern Ill. ,MVC ,31,11,20,503,613,3.55,2023-2024
41,Grambling ,SWAC ,33,23,10,614,731,3.55,2023-2024
42,Southern California ,Pac-12 ,35,29,6,423,546,3.51,2023-2024
43,Siena ,MAAC ,30,18,12,514,618,3.47,2023-2024
44,Missouri St. ,MVC ,33,23,10,473,586,3.42,2023-2024
45,Fresno St. ,Mountain West ,33,15,18,442,552,3.33,2023-2024
46,Seton Hall ,Big East ,32,17,15,440,546,3.31,2023-2024
47,Southeastern La. ,Southland ,31,19,12,414,514,3.23,2023-2024
48,Eastern Ky. ,ASUN ,34,22,12,517,626,3.21,2023-2024
48,Toledo ,MAC ,34,28,6,442,551,3.21,2023-2024
50,Grand Canyon ,WAC ,32,24,8,488,590,3.19,2023-2024
51,Florida St. ,ACC ,34,23,11,393,501,3.18,2023-2024
52,Nicholls ,Southland ,32,14,18,467,568,3.16,2023-2024
53,Tennessee St. ,OVC ,30,11,19,558,652,3.13,2023-2024
54,Vanderbilt ,SEC ,33,23,10,484,585,3.06,2023-2024
55,Colorado ,Pac-12 ,34,24,10,472,576,3.06,2023-2024
56,Utah Valley ,WAC ,29,10,19,488,576,3.03,2023-2024
57,UNLV ,Mountain West ,33,30,3,344,444,3.03,2023-2024
58,ULM ,Sun Belt ,35,21,14,477,582,3,2023-2024
59,Wofford ,SoCon ,30,17,13,362,447,2.83,2023-2024
60,Florida ,SEC ,32,16,16,480,570,2.81,2023-2024
61,North Carolina ,ACC ,33,20,13,431,523,2.79,2023-2024
62,Louisiana ,Sun Belt ,31,17,14,458,543,2.74,2023-2024
63,Ohio ,MAC ,30,11,19,557,639,2.73,2023-2024
64,Navy ,Patriot ,31,14,17,449,532,2.68,2023-2024
65,DePaul ,Big East ,32,12,20,473,558,2.66,2023-2024
66,Baylor ,Big 12 ,34,26,8,534,624,2.65,2023-2024
66,Drexel ,CAA ,34,19,15,460,550,2.65,2023-2024
68,Tennessee Tech ,OVC ,31,16,15,489,571,2.65,2023-2024
69,Louisville ,ACC ,34,24,10,528,617,2.62,2023-2024
70,Arizona St. ,Pac-12 ,31,11,20,383,464,2.61,2023-2024
71,South Carolina ,SEC ,38,38,0,495,594,2.61,2023-2024
72,California Baptist ,WAC ,32,28,4,455,535,2.5,2023-2024
72,Little Rock ,OVC ,30,12,18,440,515,2.5,2023-2024
74,Cleveland St. ,Horizon ,35,29,6,510,595,2.43,2023-2024
75,Middle Tenn. ,CUSA ,35,30,5,414,497,2.37,2023-2024
75,San Diego St. ,Mountain West ,35,22,13,470,553,2.37,2023-2024
77,CSU Bakersfield ,Big West ,29,8,21,391,459,2.34,2023-2024
78,Minnesota ,Big Ten ,36,20,16,485,568,2.31,2023-2024
79,Ark.-Pine Bluff ,SWAC ,33,17,16,541,614,2.21,2023-2024
80,Gonzaga ,WCC ,36,32,4,477,556,2.19,2023-2024
81,Kansas St. ,Big 12 ,34,26,8,480,553,2.15,2023-2024
82,Howard ,MEAC ,31,15,16,510,576,2.13,2023-2024
83,Montana St. ,Big Sky ,33,17,16,518,588,2.12,2023-2024
84,Troy ,Sun Belt ,34,22,12,482,554,2.12,2023-2024
85,Rhode Island ,Atlantic 10 ,35,21,14,497,571,2.11,2023-2024
86,Fairfield ,MAAC ,33,31,2,560,629,2.09,2023-2024
87,Western Mich. ,MAC ,30,12,18,479,540,2.03,2023-2024
88,Arkansas ,SEC ,33,18,15,418,485,2.03,2023-2024
