Rank FGPCT,Team,Conference,Games,Wins,Losses,FieldGoalsMade,FieldGoalAttempted,FieldGoalPercentage,Season
95,Lehigh ,Patriot ,30,17,13,712,"1,678",42.4,2023-2024
96,Duquesne ,Atlantic 10 ,34,21,13,853,"2,011",42.4,2023-2024
97,Campbell ,CAA ,31,17,14,699,"1,648",42.4,2023-2024
98,SFA ,WAC ,34,22,12,916,"2,161",42.4,2023-2024
99,Southern Miss. ,Sun Belt ,34,20,14,871,"2,055",42.4,2023-2024
100,Oklahoma ,Big 12 ,33,23,10,943,"2,225",42.4,2023-2024
101,Liberty ,CUSA ,34,18,16,833,"1,968",42.3,2023-2024
102,Boston College ,ACC ,33,14,19,892,"2,108",42.3,2023-2024
103,Southern California ,Pac-12 ,35,29,6,930,"2,199",42.3,2023-2024
104,Western Ill. ,OVC ,30,18,12,759,"1,795",42.3,2023-2024
105,Lamar University ,Southland ,31,24,7,769,"1,820",42.3,2023-2024
106,Binghamton ,America East ,31,14,17,725,"1,716",42.2,2023-2024
107,Northern Ariz. ,Big Sky ,35,25,10,961,"2,280",42.1,2023-2024
108,UT Arlington ,WAC ,33,17,16,845,"2,005",42.1,2023-2024
109,James Madison ,Sun Belt ,35,23,12,941,"2,234",42.1,2023-2024
110,UAB ,AAC ,32,18,14,809,"1,922",42.1,2023-2024
111,Northern Ky. ,Horizon ,31,11,20,746,"1,773",42.1,2023-2024
112,Tulsa ,AAC ,35,25,10,872,"2,073",42.1,2023-2024
113,Washington ,Pac-12 ,31,16,15,762,"1,812",42.1,2023-2024
114,Butler ,Big East ,32,15,17,743,"1,769",42,2023-2024
115,Rutgers ,Big Ten ,32,8,24,747,"1,779",42,2023-2024
116,Nebraska ,Big Ten ,35,23,12,899,"2,141",42,2023-2024
117,Loyola Maryland ,Patriot ,31,16,15,700,"1,668",42,2023-2024
118,Troy ,Sun Belt ,34,22,12,"1,060","2,528",41.9,2023-2024
119,Siena ,MAAC ,30,18,12,775,"1,850",41.9,2023-2024
120,Tulane ,AAC ,32,12,20,751,"1,795",41.8,2023-2024
121,Minnesota ,Big Ten ,36,20,16,945,"2,261",41.8,2023-2024
122,Penn ,Ivy League ,28,15,13,681,"1,631",41.8,2023-2024
123,Georgia Tech ,ACC ,33,17,16,834,"1,998",41.7,2023-2024
124,California Baptist ,WAC ,32,28,4,886,"2,123",41.7,2023-2024
125,Ole Miss ,SEC ,33,24,9,825,"1,981",41.6,2023-2024
126,Detroit Mercy ,Horizon ,33,17,16,741,"1,780",41.6,2023-2024
127,UC Santa Barbara ,Big West ,31,16,15,724,"1,741",41.6,2023-2024
128,Southern Utah ,WAC ,30,8,22,757,"1,821",41.6,2023-2024
129,Syracuse ,ACC ,32,24,8,873,"2,101",41.6,2023-2024
130,Purdue ,Big Ten ,34,15,19,843,"2,030",41.5,2023-2024
131,Omaha ,Summit League ,31,8,23,751,"1,809",41.5,2023-2024
132,Ark.-Pine Bluff ,SWAC ,33,17,16,870,"2,096",41.5,2023-2024
133,North Ala. ,ASUN ,30,12,18,733,"1,767",41.5,2023-2024
134,Wright St. ,Horizon ,33,18,15,817,"1,970",41.5,2023-2024
135,Buffalo ,MAC ,33,19,14,788,"1,904",41.4,2023-2024
136,Tennessee Tech ,OVC ,31,16,15,760,"1,837",41.4,2023-2024
137,Florida St. ,ACC ,34,23,11,970,"2,346",41.3,2023-2024
138,Purdue Fort Wayne ,Horizon ,36,23,13,908,"2,197",41.3,2023-2024
139,UC Davis ,Big West ,34,20,14,779,"1,885",41.3,2023-2024
140,Delaware ,CAA ,31,11,20,769,"1,861",41.3,2023-2024
141,North Carolina ,ACC ,33,20,13,832,"2,014",41.3,2023-2024
142,Kansas City ,Summit League ,32,12,20,799,"1,935",41.3,2023-2024
143,Seton Hall ,Big East ,32,17,15,765,"1,855",41.2,2023-2024
144,San Diego St. ,Mountain West ,35,22,13,844,"2,047",41.2,2023-2024
145,Northwestern ,Big Ten ,30,9,21,745,"1,808",41.2,2023-2024
146,Louisiana Tech ,CUSA ,33,14,19,752,"1,825",41.2,2023-2024
147,VCU ,Atlantic 10 ,32,26,6,723,"1,755",41.2,2023-2024
148,San Diego ,WCC ,31,9,22,732,"1,777",41.2,2023-2024
149,Northeastern ,CAA ,27,10,17,580,"1,411",41.1,2023-2024
150,Eastern Ky. ,ASUN ,34,22,12,885,"2,153",41.1,2023-2024
151,Abilene Christian ,WAC ,30,14,16,739,"1,799",41.1,2023-2024
152,ULM ,Sun Belt ,35,21,14,918,"2,238",41,2023-2024
153,FIU ,CUSA ,33,21,12,800,"1,954",40.9,2023-2024
154,Eastern Wash. ,Big Sky ,35,29,6,903,"2,206",40.9,2023-2024
155,Eastern Ill. ,OVC ,33,15,18,804,"1,965",40.9,2023-2024
156,Monmouth ,CAA ,32,22,10,733,"1,792",40.9,2023-2024
157,Texas St. ,Sun Belt ,32,14,18,736,"1,800",40.9,2023-2024
158,Vanderbilt ,SEC ,33,23,10,825,"2,018",40.9,2023-2024
159,San Jose St. ,Mountain West ,31,7,24,697,"1,705",40.9,2023-2024
160,Jacksonville ,ASUN ,31,11,20,680,"1,665",40.8,2023-2024
161,Texas A&M ,SEC ,32,19,13,841,"2,060",40.8,2023-2024
162,Western Caro. ,SoCon ,30,6,24,653,"1,600",40.8,2023-2024
163,Rhode Island ,Atlantic 10 ,35,21,14,847,"2,076",40.8,2023-2024
164,Bryant ,America East ,30,15,15,670,"1,643",40.8,2023-2024
165,Villanova ,Big East ,35,22,13,876,"2,149",40.8,2023-2024
166,Cal Poly ,Big West ,31,17,14,674,"1,654",40.7,2023-2024
167,UNC Greensboro ,SoCon ,33,21,12,798,"1,963",40.7,2023-2024
168,Long Beach St. ,Big West ,33,15,18,813,"2,001",40.6,2023-2024
169,Lafayette ,Patriot ,30,10,20,647,"1,595",40.6,2023-2024
170,Georgia ,SEC ,30,12,18,729,"1,799",40.5,2023-2024
171,Western Mich. ,MAC ,30,12,18,668,"1,649",40.5,2023-2024
172,Loyola Chicago ,Atlantic 10 ,31,15,16,687,"1,697",40.5,2023-2024
173,Providence ,Big East ,34,13,21,716,"1,769",40.5,2023-2024
174,Auburn ,SEC ,32,20,12,789,"1,950",40.5,2023-2024
175,Maine ,America East ,34,24,10,812,"2,007",40.5,2023-2024
176,Sacred Heart ,NEC ,34,24,10,824,"2,037",40.5,2023-2024
177,DePaul ,Big East ,32,12,20,854,"2,112",40.4,2023-2024
178,Norfolk St. ,MEAC ,33,27,6,815,"2,017",40.4,2023-2024
179,High Point ,Big South ,32,20,12,703,"1,740",40.4,2023-2024
180,Georgia St. ,Sun Belt ,30,15,15,759,"1,880",40.4,2023-2024
181,Fordham ,Atlantic 10 ,29,12,17,703,"1,742",40.4,2023-2024
182,Wisconsin ,Big Ten ,32,15,17,715,"1,776",40.3,2023-2024
183,Southeastern La. ,Southland ,31,19,12,736,"1,829",40.2,2023-2024
184,Presbyterian ,Big South ,36,21,15,781,"1,944",40.2,2023-2024
185,Denver ,Summit League ,30,8,22,670,"1,668",40.2,2023-2024
186,IU Indy ,Horizon ,30,7,23,684,"1,703",40.2,2023-2024
187,New Mexico St. ,CUSA ,31,13,18,698,"1,739",40.1,2023-2024
188,Arkansas St. ,Sun Belt ,30,13,17,694,"1,730",40.1,2023-2024
189,UCF ,Big 12 ,29,12,17,653,"1,628",40.1,2023-2024
190,Drexel ,CAA ,34,19,15,766,"1,910",40.1,2023-2024
191,Col. of Charleston ,CAA ,32,22,10,877,"2,188",40.1,2023-2024
192,Texas Tech ,Big 12 ,33,17,16,738,"1,842",40.1,2023-2024
193,Dayton ,Atlantic 10 ,31,12,19,755,"1,885",40.1,2023-2024
194,American ,Patriot ,30,10,20,686,"1,713",40,2023-2024
195,Furman ,SoCon ,31,15,16,734,"1,833",40,2023-2024
196,California ,Pac-12 ,34,19,15,809,"2,021",40,2023-2024
197,ETSU ,SoCon ,30,18,12,643,"1,609",40,2023-2024
198,Rice ,AAC ,34,19,15,826,"2,068",39.9,2023-2024
199,Coastal Carolina ,Sun Belt ,33,12,21,781,"1,956",39.9,2023-2024
200,Holy Cross ,Patriot ,34,21,13,802,"2,009",39.9,2023-2024
201,Georgetown ,Big East ,35,23,12,771,"1,932",39.9,2023-2024
202,A&M-Corpus Christi ,Southland ,32,23,9,753,"1,887",39.9,2023-2024
203,Boise St. ,Mountain West ,35,21,14,812,"2,036",39.9,2023-2024
204,Jackson St. ,SWAC ,33,26,7,801,"2,009",39.9,2023-2024
205,Bradley ,MVC ,32,6,26,707,"1,774",39.9,2023-2024
206,Quinnipiac ,MAAC ,31,13,18,676,"1,697",39.8,2023-2024
207,Massachusetts ,Atlantic 10 ,32,5,27,715,"1,796",39.8,2023-2024
208,Little Rock ,OVC ,30,12,18,636,"1,598",39.8,2023-2024
209,Grambling ,SWAC ,33,23,10,860,"2,161",39.8,2023-2024
210,Lipscomb ,ASUN ,30,17,13,728,"1,830",39.8,2023-2024
211,Virginia ,ACC ,32,16,16,835,"2,099",39.8,2023-2024
212,UTSA ,AAC ,33,18,15,824,"2,073",39.7,2023-2024
213,Fla. Atlantic ,AAC ,30,11,19,645,"1,623",39.7,2023-2024
214,Youngstown St. ,Horizon ,32,14,18,707,"1,782",39.7,2023-2024
215,NIU ,MAC ,31,15,16,735,"1,853",39.7,2023-2024
216,UC Irvine ,Big West ,32,23,9,745,"1,880",39.6,2023-2024
217,Canisius ,MAAC ,31,17,14,672,"1,698",39.6,2023-2024
218,Fresno St. ,Mountain West ,33,15,18,777,"1,964",39.6,2023-2024
219,Pittsburgh ,ACC ,32,8,24,733,"1,853",39.6,2023-2024
220,New Mexico ,Mountain West ,32,21,11,748,"1,891",39.6,2023-2024
221,Temple ,AAC ,32,20,12,849,"2,148",39.5,2023-2024
222,Valparaiso ,MVC ,30,5,25,637,"1,613",39.5,2023-2024
223,George Mason ,Atlantic 10 ,31,23,8,777,"1,968",39.5,2023-2024
224,North Florida ,ASUN ,30,9,21,696,"1,763",39.5,2023-2024
225,Idaho ,Big Sky ,31,15,16,672,"1,704",39.4,2023-2024
226,UMBC ,America East ,29,10,19,632,"1,604",39.4,2023-2024
227,Morehead St. ,OVC ,30,15,15,710,"1,803",39.4,2023-2024
