RankRM,Team,Conference,Games,Wins,Losses,REB,RPG,OPP REB,OPP RPG,Margin,Season
314,Utah Valley ,WAC ,29,10,19,983,33.9,"1,139",39.3,-5.4,2023-2024
315,Houston ,Big 12 ,30,14,16,"1,062",35.4,"1,228",40.9,-5.5,2023-2024
316,Evansville ,MVC ,32,4,28,"1,140",35.6,"1,319",41.2,-5.6,2023-2024
317,Rider ,MAAC ,31,10,21,996,32.1,"1,171",37.8,-5.6,2023-2024
318,UMass Lowell ,America East ,29,4,25,923,31.8,"1,087",37.5,-5.7,2023-2024
319,Utah St. ,Mountain West ,30,5,25,"1,027",34.2,"1,198",39.9,-5.7,2023-2024
320,Wake Forest ,ACC ,32,7,25,978,30.6,"1,163",36.3,-5.8,2023-2024
321,Gardner-Webb ,Big South ,30,6,24,"1,051",35,"1,225",40.8,-5.8,2023-2024
321,South Carolina St. ,MEAC ,30,2,28,991,33,"1,165",38.8,-5.8,2023-2024
323,Houston Christian ,Southland ,29,6,23,986,34,"1,155",39.8,-5.8,2023-2024
324,Arkansas ,SEC ,33,18,15,"1,244",37.7,"1,439",43.6,-5.9,2023-2024
325,Air Force ,Mountain West ,32,15,17,"1,031",32.2,"1,236",38.6,-6.4,2023-2024
325,Western Ky. ,CUSA ,32,15,17,"1,058",33.1,"1,263",39.5,-6.4,2023-2024
327,Saint Mary's CA,WCC ,31,13,18,887,28.6,"1,088",35.1,-6.5,2023-2024
328,UTRGV ,WAC ,29,6,23,"1,022",35.2,"1,217",42,-6.7,2023-2024
329,Louisiana ,Sun Belt ,31,17,14,976,31.5,"1,194",38.5,-7,2023-2024
330,Portland St. ,Big Sky ,31,8,23,919,29.6,"1,143",36.9,-7.2,2023-2024
331,Western Mich. ,MAC ,30,12,18,884,29.5,"1,102",36.7,-7.3,2023-2024
332,Chicago St. ,DI Independent ,27,1,26,983,36.4,"1,180",43.7,-7.3,2023-2024
333,CSUN ,Big West ,30,3,27,"1,085",36.2,"1,318",43.9,-7.8,2023-2024
334,Colorado St. ,Mountain West ,31,20,11,"1,009",32.5,"1,255",40.5,-7.9,2023-2024
335,Omaha ,Summit League ,31,8,23,980,31.6,"1,227",39.6,-8,2023-2024
336,Valparaiso ,MVC ,30,5,25,881,29.4,"1,127",37.6,-8.2,2023-2024
337,Massachusetts ,Atlantic 10 ,32,5,27,928,29,"1,193",37.3,-8.3,2023-2024
338,Arizona St. ,Pac-12 ,31,11,20,"1,043",33.6,"1,300",41.9,-8.3,2023-2024
339,Bradley ,MVC ,32,6,26,999,31.2,"1,266",39.6,-8.3,2023-2024
340,High Point ,Big South ,32,20,12,"1,009",31.5,"1,282",40.1,-8.5,2023-2024
341,Alabama St. ,SWAC ,29,3,26,963,33.2,"1,211",41.8,-8.6,2023-2024
342,UNCW ,CAA ,30,5,25,"1,041",34.7,"1,303",43.4,-8.7,2023-2024
343,Central Conn. St. ,NEC ,30,9,21,952,31.7,"1,227",40.9,-9.2,2023-2024
344,CSU Bakersfield ,Big West ,29,8,21,938,32.3,"1,211",41.8,-9.4,2023-2024
345,La Salle ,Atlantic 10 ,30,8,22,"1,004",33.5,"1,290",43,-9.5,2023-2024
346,Hampton ,CAA ,29,3,26,959,33.1,"1,255",43.3,-10.2,2023-2024
347,Xavier ,Big East ,28,1,27,782,27.9,"1,093",39,-11.1,2023-2024
348,Ohio ,MAC ,30,11,19,928,30.9,"1,268",42.3,-11.3,2023-2024
349,Mississippi Val. ,SWAC ,31,4,27,"1,079",34.8,"1,474",47.5,-12.7,2023-2024
