Rank ScDef,Team,Conference,Games,Wins,Losses,Opponet Points,Opponet PPG,Season
52,New Hampshire ,America East ,29,9,20,"1,704",58.8,2023-2024
53,Auburn ,SEC ,32,20,12,"1,882",58.8,2023-2024
53,Stetson ,ASUN ,32,17,15,"1,882",58.8,2023-2024
55,Hofstra ,CAA ,32,11,21,"1,885",58.9,2023-2024
56,Presbyterian ,Big South ,36,21,15,"2,121",58.9,2023-2024
57,Boise St. ,Mountain West ,35,21,14,"2,063",58.9,2023-2024
58,Louisiana ,Sun Belt ,31,17,14,"1,829",59,2023-2024
59,Central Ark. ,ASUN ,33,21,12,"1,948",59,2023-2024
60,Washington ,Pac-12 ,31,16,15,"1,830",59,2023-2024
61,UNLV ,Mountain West ,33,30,3,"1,949",59.1,2023-2024
62,Santa Clara ,WCC ,34,25,9,"2,011",59.1,2023-2024
63,UMES ,MEAC ,30,15,15,"1,780",59.3,2023-2024
64,Ole Miss ,SEC ,33,24,9,"1,960",59.4,2023-2024
65,Marquette ,Big East ,32,23,9,"1,904",59.5,2023-2024
66,Villanova ,Big East ,35,22,13,"2,087",59.6,2023-2024
67,Seton Hall ,Big East ,32,17,15,"1,910",59.7,2023-2024
68,Oregon St. ,Pac-12 ,35,27,8,"2,090",59.7,2023-2024
69,Wyoming ,Mountain West ,33,18,15,"1,973",59.8,2023-2024
70,Coppin St. ,MEAC ,30,12,18,"1,794",59.8,2023-2024
71,UC Davis ,Big West ,34,20,14,"2,039",60,2023-2024
72,Stanford ,Pac-12 ,36,30,6,"2,160",60,2023-2024
73,Toledo ,MAC ,34,28,6,"2,043",60.1,2023-2024
74,South Dakota St. ,Summit League ,33,27,6,"1,985",60.2,2023-2024
75,Austin Peay ,ASUN ,33,17,16,"1,986",60.2,2023-2024
76,Winthrop ,Big South ,30,14,16,"1,807",60.2,2023-2024
77,South Fla. ,AAC ,33,19,14,"1,988",60.2,2023-2024
78,Old Dominion ,Sun Belt ,32,22,10,"1,928",60.3,2023-2024
79,Binghamton ,America East ,31,14,17,"1,869",60.3,2023-2024
80,Gonzaga ,WCC ,36,32,4,"2,171",60.3,2023-2024
81,Miami FL,ACC ,31,19,12,"1,871",60.4,2023-2024
82,Baylor ,Big 12 ,34,26,8,"2,055",60.4,2023-2024
83,UNC Asheville ,Big South ,31,11,20,"1,876",60.5,2023-2024
84,Little Rock ,OVC ,30,12,18,"1,820",60.7,2023-2024
85,NC State ,ACC ,38,31,7,"2,306",60.7,2023-2024
86,Cal Poly ,Big West ,31,17,14,"1,884",60.8,2023-2024
87,New Mexico ,Mountain West ,32,21,11,"1,945",60.8,2023-2024
88,Samford ,SoCon ,30,14,16,"1,824",60.8,2023-2024
89,Bethune-Cookman ,SWAC ,31,15,16,"1,886",60.8,2023-2024
90,TCU ,Big 12 ,33,21,12,"2,010",60.9,2023-2024
91,Ball St. ,MAC ,34,28,6,"2,072",60.9,2023-2024
92,Richmond ,Atlantic 10 ,35,29,6,"2,135",61,2023-2024
92,FDU ,NEC ,31,14,17,"1,891",61,2023-2024
92,Bryant ,America East ,30,15,15,"1,830",61,2023-2024
95,Notre Dame ,ACC ,35,28,7,"2,138",61.1,2023-2024
96,Wofford ,SoCon ,30,17,13,"1,834",61.1,2023-2024
97,UCLA ,Pac-12 ,34,27,7,"2,079",61.1,2023-2024
98,Bucknell ,Patriot ,31,13,18,"1,898",61.2,2023-2024
98,Colorado St. ,Mountain West ,31,20,11,"1,898",61.2,2023-2024
100,Loyola Maryland ,Patriot ,31,16,15,"1,900",61.3,2023-2024
101,Elon ,CAA ,32,11,21,"1,963",61.3,2023-2024
102,Cleveland St. ,Horizon ,35,29,6,"2,149",61.4,2023-2024
103,USC Upstate ,Big South ,32,16,16,"1,965",61.4,2023-2024
104,Radford ,Big South ,33,15,18,"2,027",61.4,2023-2024
105,New Mexico St. ,CUSA ,31,13,18,"1,906",61.5,2023-2024
106,Providence ,Big East ,34,13,21,"2,092",61.5,2023-2024
107,Boston U. ,Patriot ,32,20,12,"1,971",61.6,2023-2024
108,Northwestern St. ,Southland ,30,11,19,"1,849",61.6,2023-2024
109,Idaho St. ,Big Sky ,30,11,19,"1,850",61.7,2023-2024
110,Virginia Tech ,ACC ,33,25,8,"2,037",61.7,2023-2024
111,Canisius ,MAAC ,31,17,14,"1,915",61.8,2023-2024
112,Washington St. ,Pac-12 ,36,21,15,"2,224",61.8,2023-2024
112,Brown ,Ivy League ,27,16,11,"1,668",61.8,2023-2024
114,Alabama A&M ,SWAC ,31,15,16,"1,918",61.9,2023-2024
115,Utah ,Pac-12 ,34,23,11,"2,107",62,2023-2024
116,Butler ,Big East ,32,15,17,"1,985",62,2023-2024
117,Fordham ,Atlantic 10 ,29,12,17,"1,803",62.2,2023-2024
118,Alabama ,SEC ,34,24,10,"2,115",62.2,2023-2024
119,Army West Point ,Patriot ,29,12,17,"1,806",62.3,2023-2024
120,Belmont ,MVC ,35,26,9,"2,181",62.3,2023-2024
121,Vanderbilt ,SEC ,33,23,10,"2,057",62.3,2023-2024
122,Portland ,WCC ,34,21,13,"2,122",62.4,2023-2024
123,Saint Peter's ,MAAC ,30,7,23,"1,873",62.4,2023-2024
124,Northern Colo. ,Big Sky ,31,15,16,"1,936",62.5,2023-2024
125,NJIT ,America East ,30,12,18,"1,874",62.5,2023-2024
125,Southern U. ,SWAC ,30,15,15,"1,874",62.5,2023-2024
127,North Carolina ,ACC ,33,20,13,"2,062",62.5,2023-2024
128,Southern California ,Pac-12 ,35,29,6,"2,187",62.5,2023-2024
129,Merrimack ,NEC ,31,12,19,"1,939",62.5,2023-2024
130,William & Mary ,CAA ,29,15,14,"1,814",62.6,2023-2024
131,Louisiana Tech ,CUSA ,33,14,19,"2,066",62.6,2023-2024
132,Milwaukee ,Horizon ,32,16,16,"2,005",62.7,2023-2024
132,Youngstown St. ,Horizon ,32,14,18,"2,005",62.7,2023-2024
134,UC Santa Barbara ,Big West ,31,16,15,"1,943",62.7,2023-2024
135,Morgan St. ,MEAC ,30,8,22,"1,882",62.7,2023-2024
136,Kent St. ,MAC ,32,21,11,"2,008",62.8,2023-2024
137,Col. of Charleston ,CAA ,32,22,10,"2,010",62.8,2023-2024
138,East Carolina ,AAC ,33,19,14,"2,073",62.8,2023-2024
139,Creighton ,Big East ,32,26,6,"2,011",62.8,2023-2024
140,Texas Tech ,Big 12 ,33,17,16,"2,074",62.8,2023-2024
141,Temple ,AAC ,32,20,12,"2,013",62.9,2023-2024
142,UMBC ,America East ,29,10,19,"1,826",63,2023-2024
143,Alcorn ,SWAC ,32,12,20,"2,015",63,2023-2024
144,Fresno St. ,Mountain West ,33,15,18,"2,079",63,2023-2024
144,Charlotte ,AAC ,31,16,15,"1,953",63,2023-2024
146,Rice ,AAC ,34,19,15,"2,143",63,2023-2024
147,Jacksonville St. ,CUSA ,29,12,17,"1,831",63.1,2023-2024
148,Nicholls ,Southland ,32,14,18,"2,021",63.2,2023-2024
149,UT Martin ,OVC ,33,16,17,"2,085",63.2,2023-2024
150,Iona ,MAAC ,30,11,19,"1,897",63.2,2023-2024
151,Loyola Chicago ,Atlantic 10 ,31,15,16,"1,962",63.3,2023-2024
152,Louisville ,ACC ,34,24,10,"2,153",63.3,2023-2024
153,LSU ,SEC ,37,31,6,"2,343",63.3,2023-2024
154,Purdue Fort Wayne ,Horizon ,36,23,13,"2,282",63.4,2023-2024
155,Harvard ,Ivy League ,28,16,12,"1,776",63.4,2023-2024
155,Penn ,Ivy League ,28,15,13,"1,776",63.4,2023-2024
157,Detroit Mercy ,Horizon ,33,17,16,"2,094",63.5,2023-2024
157,UTSA ,AAC ,33,18,15,"2,094",63.5,2023-2024
159,Texas St. ,Sun Belt ,32,14,18,"2,031",63.5,2023-2024
160,Southern Miss. ,Sun Belt ,34,20,14,"2,159",63.5,2023-2024
160,Western Ky. ,CUSA ,32,15,17,"2,032",63.5,2023-2024
162,Columbia ,Ivy League ,30,23,7,"1,906",63.5,2023-2024
163,Buffalo ,MAC ,33,19,14,"2,098",63.6,2023-2024
164,UMass Lowell ,America East ,29,4,25,"1,844",63.6,2023-2024
165,Lafayette ,Patriot ,30,10,20,"1,909",63.6,2023-2024
166,Missouri St. ,MVC ,33,23,10,"2,100",63.6,2023-2024
167,Navy ,Patriot ,31,14,17,"1,976",63.7,2023-2024
168,Miami OH,MAC ,29,9,20,"1,849",63.8,2023-2024
169,Montana ,Big Sky ,33,23,10,"2,107",63.8,2023-2024
170,Arkansas St. ,Sun Belt ,30,13,17,"1,916",63.9,2023-2024
171,Marist ,MAAC ,31,6,25,"1,980",63.9,2023-2024
172,High Point ,Big South ,32,20,12,"2,045",63.9,2023-2024
173,Siena ,MAAC ,30,18,12,"1,918",63.9,2023-2024
174,Ohio St. ,Big Ten ,32,26,6,"2,047",64,2023-2024
175,Eastern Ky. ,ASUN ,34,22,12,"2,177",64,2023-2024
176,Furman ,SoCon ,31,15,16,"1,986",64.1,2023-2024
177,Grambling ,SWAC ,33,23,10,"2,116",64.1,2023-2024
178,FIU ,CUSA ,33,21,12,"2,117",64.2,2023-2024
179,Nebraska ,Big Ten ,35,23,12,"2,246",64.2,2023-2024
180,North Texas ,AAC ,32,23,9,"2,054",64.2,2023-2024
181,Kennesaw St. ,ASUN ,30,11,19,"1,926",64.2,2023-2024
182,Colorado ,Pac-12 ,34,24,10,"2,185",64.3,2023-2024
182,Michigan ,Big Ten ,34,20,14,"2,185",64.3,2023-2024
184,Kansas ,Big 12 ,33,20,13,"2,121",64.3,2023-2024
185,San Diego St. ,Mountain West ,35,22,13,"2,252",64.3,2023-2024
186,Mercer ,SoCon ,32,15,17,"2,059",64.3,2023-2024
187,Indiana ,Big Ten ,32,26,6,"2,060",64.4,2023-2024
188,UCF ,Big 12 ,29,12,17,"1,873",64.6,2023-2024
189,Northeastern ,CAA ,27,10,17,"1,744",64.6,2023-2024
190,South Dakota ,Summit League ,36,23,13,"2,326",64.6,2023-2024
191,Quinnipiac ,MAAC ,31,13,18,"2,003",64.6,2023-2024
192,Rider ,MAAC ,31,10,21,"2,004",64.6,2023-2024
193,Nevada ,Mountain West ,32,16,16,"2,080",65,2023-2024
194,Houston Christian ,Southland ,29,6,23,"1,886",65,2023-2024
195,Saint Mary's CA,WCC ,31,13,18,"2,024",65.3,2023-2024
196,California ,Pac-12 ,34,19,15,"2,221",65.3,2023-2024
197,LMU CA,WCC ,30,11,19,"1,960",65.3,2023-2024
198,Cal St. Fullerton ,Big West ,31,10,21,"2,027",65.4,2023-2024
199,Towson ,CAA ,31,20,11,"2,028",65.4,2023-2024
200,Lehigh ,Patriot ,30,17,13,"1,963",65.4,2023-2024
201,Utah Valley ,WAC ,29,10,19,"1,899",65.5,2023-2024
202,Tulane ,AAC ,32,12,20,"2,098",65.6,2023-2024
203,Morehead St. ,OVC ,30,15,15,"1,968",65.6,2023-2024
204,NIU ,MAC ,31,15,16,"2,034",65.6,2023-2024
205,Fla. Atlantic ,AAC ,30,11,19,"1,969",65.6,2023-2024
206,Syracuse ,ACC ,32,24,8,"2,102",65.7,2023-2024
207,Western Mich. ,MAC ,30,12,18,"1,971",65.7,2023-2024
208,BYU ,Big 12 ,33,16,17,"2,169",65.7,2023-2024
209,Mississippi St. ,SEC ,35,23,12,"2,302",65.8,2023-2024
210,Arizona ,Pac-12 ,34,18,16,"2,237",65.8,2023-2024
211,N.C. Central ,MEAC ,31,16,15,"2,042",65.9,2023-2024
212,Kansas City ,Summit League ,32,12,20,"2,111",66,2023-2024
213,Cincinnati ,Big 12 ,32,14,18,"2,112",66,2023-2024
213,American ,Patriot ,30,10,20,"1,980",66,2023-2024
215,Lipscomb ,ASUN ,30,17,13,"1,983",66.1,2023-2024
216,Akron ,MAC ,29,11,18,"1,917",66.1,2023-2024
217,Abilene Christian ,WAC ,30,14,16,"1,984",66.1,2023-2024
217,Central Conn. St. ,NEC ,30,9,21,"1,984",66.1,2023-2024
219,Minnesota ,Big Ten ,36,20,16,"2,381",66.1,2023-2024
220,San Jose St. ,Mountain West ,31,7,24,"2,052",66.2,2023-2024
221,UIC ,MVC ,34,18,16,"2,252",66.2,2023-2024
222,Air Force ,Mountain West ,32,15,17,"2,121",66.3,2023-2024
223,Robert Morris ,Horizon ,30,6,24,"1,991",66.4,2023-2024
224,Western Caro. ,SoCon ,30,6,24,"1,992",66.4,2023-2024
225,Oklahoma St. ,Big 12 ,30,14,16,"1,993",66.4,2023-2024
226,Delaware ,CAA ,31,11,20,"2,060",66.5,2023-2024
227,James Madison ,Sun Belt ,35,23,12,"2,327",66.5,2023-2024
228,St. Bonaventure ,Atlantic 10 ,30,4,26,"1,995",66.5,2023-2024
228,Western Ill. ,OVC ,30,18,12,"1,995",66.5,2023-2024
230,Charleston So. ,Big South ,30,11,19,"1,998",66.6,2023-2024
231,Weber St. ,Big Sky ,33,8,25,"2,199",66.6,2023-2024
232,Liberty ,CUSA ,34,18,16,"2,267",66.7,2023-2024
233,Southeast Mo. St. ,OVC ,29,9,20,"1,934",66.7,2023-2024
234,Georgia ,SEC ,30,12,18,"2,006",66.9,2023-2024
235,Sacramento St. ,Big Sky ,31,6,25,"2,073",66.9,2023-2024
235,San Diego ,WCC ,31,9,22,"2,073",66.9,2023-2024
237,Tennessee Tech ,OVC ,31,16,15,"2,074",66.9,2023-2024
238,Tulsa ,AAC ,35,25,10,"2,342",66.9,2023-2024
239,Georgia Tech ,ACC ,33,17,16,"2,210",67,2023-2024
240,Duquesne ,Atlantic 10 ,34,21,13,"2,277",67,2023-2024
241,CSU Bakersfield ,Big West ,29,8,21,"1,943",67,2023-2024
242,Michigan St. ,Big Ten ,31,22,9,"2,078",67,2023-2024
243,Wagner ,NEC ,28,7,21,"1,877",67,2023-2024
244,San Francisco ,WCC ,30,14,16,"2,014",67.1,2023-2024
245,Oregon ,Pac-12 ,32,11,21,"2,154",67.3,2023-2024
246,Cornell ,Ivy League ,26,7,19,"1,752",67.4,2023-2024
247,Illinois ,Big Ten ,34,19,15,"2,294",67.5,2023-2024
248,Eastern Mich. ,MAC ,29,7,22,"1,958",67.5,2023-2024
249,Wake Forest ,ACC ,32,7,25,"2,162",67.6,2023-2024
250,Portland St. ,Big Sky ,31,8,23,"2,096",67.6,2023-2024
251,Ark.-Pine Bluff ,SWAC ,33,17,16,"2,237",67.8,2023-2024
251,Eastern Ill. ,OVC ,33,15,18,"2,237",67.8,2023-2024
253,LIU ,NEC ,30,8,22,"2,035",67.8,2023-2024
254,Wisconsin ,Big Ten ,32,15,17,"2,172",67.9,2023-2024
255,ULM ,Sun Belt ,35,21,14,"2,376",67.9,2023-2024
256,Tennessee St. ,OVC ,30,11,19,"2,044",68.1,2023-2024
257,North Florida ,ASUN ,30,9,21,"2,045",68.2,2023-2024
258,Hampton ,CAA ,29,3,26,"1,978",68.2,2023-2024
259,Purdue ,Big Ten ,34,15,19,"2,321",68.3,2023-2024
260,New Orleans ,Southland ,30,11,19,"2,050",68.3,2023-2024
260,SMU ,AAC ,30,14,16,"2,050",68.3,2023-2024
262,Yale ,Ivy League ,27,8,19,"1,846",68.4,2023-2024
263,Prairie View ,SWAC ,29,11,18,"1,984",68.4,2023-2024
264,North Dakota St. ,Summit League ,34,22,12,"2,328",68.5,2023-2024
265,Southern Ill. ,MVC ,31,11,20,"2,123",68.5,2023-2024
