Rank FTAtPG,Team,Conferences,Games,Wins,Losses,Free Throws Made,Free Throw Attempts,Avg,Season
48,George Mason ,Atlantic 10 ,31,23,8,434,599,19.32,2023-2024
49,Kentucky ,SEC ,32,12,20,392,618,19.31,2023-2024
50,Kansas ,Big 12 ,33,20,13,456,636,19.27,2023-2024
51,Northern Ky. ,Horizon ,31,11,20,407,597,19.26,2023-2024
52,UCF ,Big 12 ,29,12,17,417,558,19.24,2023-2024
53,Troy ,Sun Belt ,34,22,12,464,654,19.24,2023-2024
54,James Madison ,Sun Belt ,35,23,12,454,671,19.17,2023-2024
55,Morehead St. ,OVC ,30,15,15,367,575,19.17,2023-2024
56,UTEP ,CUSA ,31,12,19,402,594,19.16,2023-2024
57,FGCU ,ASUN ,34,29,5,459,648,19.06,2023-2024
58,NC State ,ACC ,38,31,7,537,723,19.03,2023-2024
59,Wichita St. ,AAC ,32,10,22,404,608,19,2023-2024
60,South Dakota St. ,Summit League ,33,27,6,443,626,18.97,2023-2024
60,UT Arlington ,WAC ,33,17,16,439,626,18.97,2023-2024
62,Tennessee ,SEC ,33,20,13,465,624,18.91,2023-2024
63,Auburn ,SEC ,32,20,12,426,605,18.91,2023-2024
63,Old Dominion ,Sun Belt ,32,22,10,385,605,18.91,2023-2024
65,ULM ,Sun Belt ,35,21,14,496,659,18.83,2023-2024
66,Indiana St. ,MVC ,32,11,21,452,602,18.81,2023-2024
67,Southern U. ,SWAC ,30,15,15,368,563,18.77,2023-2024
68,Alabama ,SEC ,34,24,10,454,638,18.76,2023-2024
69,Arkansas ,SEC ,33,18,15,446,619,18.76,2023-2024
70,Niagara ,MAAC ,35,21,14,450,656,18.74,2023-2024
71,Southern California ,Pac-12 ,35,29,6,491,655,18.71,2023-2024
72,Florida St. ,ACC ,34,23,11,487,632,18.59,2023-2024
73,N.C. Central ,MEAC ,31,16,15,363,574,18.52,2023-2024
74,Georgia St. ,Sun Belt ,30,15,15,395,555,18.5,2023-2024
74,South Carolina ,SEC ,38,38,0,484,703,18.5,2023-2024
76,Northern Colo. ,Big Sky ,31,15,16,392,572,18.45,2023-2024
77,Alcorn ,SWAC ,32,12,20,378,589,18.41,2023-2024
78,SIUE ,OVC ,31,5,26,444,570,18.39,2023-2024
79,North Carolina ,ACC ,33,20,13,400,606,18.36,2023-2024
80,Florida ,SEC ,32,16,16,421,587,18.34,2023-2024
81,North Dakota ,Summit League ,30,9,21,404,549,18.3,2023-2024
82,Memphis ,AAC ,30,13,17,342,548,18.27,2023-2024
83,UIW ,Southland ,30,19,11,395,547,18.23,2023-2024
84,Drake ,MVC ,35,29,6,492,638,18.23,2023-2024
85,Southeastern La. ,Southland ,31,19,12,390,564,18.19,2023-2024
86,Southeast Mo. St. ,OVC ,29,9,20,372,527,18.17,2023-2024
87,South Dakota ,Summit League ,36,23,13,510,654,18.17,2023-2024
88,Furman ,SoCon ,31,15,16,398,563,18.16,2023-2024
89,Michigan St. ,Big Ten ,31,22,9,414,562,18.13,2023-2024
90,Boston College ,ACC ,33,14,19,407,597,18.09,2023-2024
91,Mississippi St. ,SEC ,35,23,12,462,633,18.09,2023-2024
92,Alabama A&M ,SWAC ,31,15,16,385,559,18.03,2023-2024
93,Texas St. ,Sun Belt ,32,14,18,427,577,18.03,2023-2024
94,Notre Dame ,ACC ,35,28,7,485,631,18.03,2023-2024
95,Stetson ,ASUN ,32,17,15,377,576,18,2023-2024
95,UTRGV ,WAC ,29,6,23,383,522,18,2023-2024
97,William & Mary ,CAA ,29,15,14,386,521,17.97,2023-2024
98,Fla. Atlantic ,AAC ,30,11,19,340,538,17.93,2023-2024
99,Long Beach St. ,Big West ,33,15,18,409,591,17.91,2023-2024
100,Kennesaw St. ,ASUN ,30,11,19,355,536,17.87,2023-2024
101,Saint Louis ,Atlantic 10 ,40,22,18,554,714,17.85,2023-2024
102,Lamar University ,Southland ,31,24,7,397,553,17.84,2023-2024
103,Ball St. ,MAC ,34,28,6,430,606,17.82,2023-2024
104,Arkansas St. ,Sun Belt ,30,13,17,403,534,17.8,2023-2024
104,Coppin St. ,MEAC ,30,12,18,332,534,17.8,2023-2024
106,Tennessee St. ,OVC ,30,11,19,366,533,17.77,2023-2024
107,Lipscomb ,ASUN ,30,17,13,363,532,17.73,2023-2024
108,Austin Peay ,ASUN ,33,17,16,404,585,17.73,2023-2024
109,Portland ,WCC ,34,21,13,418,602,17.71,2023-2024
110,South Alabama ,Sun Belt ,32,9,23,406,566,17.69,2023-2024
111,Penn St. ,Big Ten ,35,22,13,464,619,17.69,2023-2024
112,Texas Tech ,Big 12 ,33,17,16,445,583,17.67,2023-2024
113,Sacred Heart ,NEC ,34,24,10,412,600,17.65,2023-2024
114,Longwood ,Big South ,30,9,21,359,529,17.63,2023-2024
114,Samford ,SoCon ,30,14,16,332,529,17.63,2023-2024
116,UMES ,MEAC ,30,15,15,360,528,17.6,2023-2024
117,VCU ,Atlantic 10 ,32,26,6,402,562,17.56,2023-2024
118,San Francisco ,WCC ,30,14,16,363,526,17.53,2023-2024
119,Mississippi Val. ,SWAC ,31,4,27,343,543,17.52,2023-2024
120,Belmont ,MVC ,35,26,9,435,613,17.51,2023-2024
121,Tulsa ,AAC ,35,25,10,420,611,17.46,2023-2024
122,Virginia ,ACC ,32,16,16,431,558,17.44,2023-2024
123,Utah St. ,Mountain West ,30,5,25,371,522,17.4,2023-2024
124,Arizona ,Pac-12 ,34,18,16,442,591,17.38,2023-2024
125,Utah Valley ,WAC ,29,10,19,311,504,17.38,2023-2024
126,Col. of Charleston ,CAA ,32,22,10,405,556,17.38,2023-2024
127,Arizona St. ,Pac-12 ,31,11,20,367,538,17.35,2023-2024
127,San Diego ,WCC ,31,9,22,380,538,17.35,2023-2024
129,South Carolina St. ,MEAC ,30,2,28,347,520,17.33,2023-2024
130,Clemson ,ACC ,31,12,19,387,537,17.32,2023-2024
130,Tennessee Tech ,OVC ,31,16,15,413,537,17.32,2023-2024
132,Toledo ,MAC ,34,28,6,436,588,17.29,2023-2024
133,Stony Brook ,CAA ,33,28,5,435,570,17.27,2023-2024
134,Kansas City ,Summit League ,32,12,20,350,552,17.25,2023-2024
135,Houston ,Big 12 ,30,14,16,377,517,17.23,2023-2024
135,Northwestern St. ,Southland ,30,11,19,335,517,17.23,2023-2024
137,Nebraska ,Big Ten ,35,23,12,443,603,17.23,2023-2024
138,Missouri St. ,MVC ,33,23,10,397,567,17.18,2023-2024
139,Ohio ,MAC ,30,11,19,355,515,17.17,2023-2024
140,Texas Southern ,SWAC ,29,7,22,345,497,17.14,2023-2024
141,UCLA ,Pac-12 ,34,27,7,433,581,17.09,2023-2024
142,Lehigh ,Patriot ,30,17,13,396,512,17.07,2023-2024
143,Syracuse ,ACC ,32,24,8,398,545,17.03,2023-2024
144,Vanderbilt ,SEC ,33,23,10,398,560,16.97,2023-2024
145,Middle Tenn. ,CUSA ,35,30,5,455,592,16.91,2023-2024
146,Buffalo ,MAC ,33,19,14,412,558,16.91,2023-2024
147,UAB ,AAC ,32,18,14,413,540,16.88,2023-2024
148,Montana St. ,Big Sky ,33,17,16,419,555,16.82,2023-2024
149,Abilene Christian ,WAC ,30,14,16,362,504,16.8,2023-2024
150,Florida A&M ,SWAC ,30,9,21,367,503,16.77,2023-2024
151,Indiana ,Big Ten ,32,26,6,394,536,16.75,2023-2024
152,Columbia ,Ivy League ,30,23,7,358,502,16.73,2023-2024
152,Denver ,Summit League ,30,8,22,344,502,16.73,2023-2024
152,UNCW ,CAA ,30,5,25,368,502,16.73,2023-2024
155,Rice ,AAC ,34,19,15,431,567,16.68,2023-2024
156,San Diego St. ,Mountain West ,35,22,13,441,583,16.66,2023-2024
157,UC Irvine ,Big West ,32,23,9,385,533,16.66,2023-2024
157,USC Upstate ,Big South ,32,16,16,385,533,16.66,2023-2024
159,Providence ,Big East ,34,13,21,380,566,16.65,2023-2024
160,Kent St. ,MAC ,32,21,11,383,532,16.63,2023-2024
161,Wagner ,NEC ,28,7,21,317,465,16.61,2023-2024
162,Oregon ,Pac-12 ,32,11,21,360,531,16.59,2023-2024
163,Chicago St. ,DI Independent ,27,1,26,326,448,16.59,2023-2024
164,Delaware ,CAA ,31,11,20,367,514,16.58,2023-2024
165,Valparaiso ,MVC ,30,5,25,349,496,16.53,2023-2024
166,High Point ,Big South ,32,20,12,377,529,16.53,2023-2024
