Rank BPPG,Team,Conference,Games,wins,losses,Bench,Average,Season
51,McNeese ,Southland ,31,6,25,694,22.4,2023-2024
52,Central Ark. ,ASUN ,33,21,12,737,22.3,2023-2024
53,Grand Canyon ,WAC ,32,24,8,714,22.3,2023-2024
54,Texas ,Big 12 ,38,33,5,846,22.3,2023-2024
55,UIW ,Southland ,30,19,11,666,22.2,2023-2024
56,Howard ,MEAC ,31,15,16,686,22.1,2023-2024
57,Fresno St. ,Mountain West ,33,15,18,726,22,2023-2024
58,Illinois St. ,MVC ,34,22,12,747,22,2023-2024
59,Portland ,WCC ,34,21,13,745,21.9,2023-2024
60,Boise St. ,Mountain West ,35,21,14,766,21.9,2023-2024
61,Kentucky ,SEC ,32,12,20,698,21.8,2023-2024
62,Duke ,ACC ,34,22,12,741,21.8,2023-2024
63,Texas St. ,Sun Belt ,32,14,18,696,21.8,2023-2024
64,Hawaii ,Big West ,31,20,11,672,21.7,2023-2024
65,Fla. Atlantic ,AAC ,30,11,19,650,21.7,2023-2024
66,Central Mich. ,MAC ,28,6,22,606,21.6,2023-2024
67,Auburn ,SEC ,32,20,12,692,21.6,2023-2024
68,UNC Asheville ,Big South ,31,11,20,669,21.6,2023-2024
69,Tennessee Tech ,OVC ,31,16,15,665,21.5,2023-2024
70,Bethune-Cookman ,SWAC ,31,15,16,664,21.4,2023-2024
71,Long Beach St. ,Big West ,33,15,18,703,21.3,2023-2024
72,Toledo ,MAC ,34,28,6,724,21.3,2023-2024
73,Nevada ,Mountain West ,32,16,16,679,21.2,2023-2024
74,Stetson ,ASUN ,32,17,15,674,21.1,2023-2024
75,Sam Houston ,CUSA ,29,7,22,609,21,2023-2024
75,North Dakota St. ,Summit League ,34,22,12,714,21,2023-2024
77,Missouri St. ,MVC ,33,23,10,691,20.9,2023-2024
78,FGCU ,ASUN ,34,29,5,709,20.9,2023-2024
79,UNI ,MVC ,32,16,16,667,20.8,2023-2024
80,Northern Ariz. ,Big Sky ,35,25,10,728,20.8,2023-2024
81,Duquesne ,Atlantic 10 ,34,21,13,707,20.8,2023-2024
82,North Ala. ,ASUN ,30,12,18,622,20.7,2023-2024
83,Dayton ,Atlantic 10 ,31,12,19,642,20.7,2023-2024
84,Morehead St. ,OVC ,30,15,15,620,20.7,2023-2024
85,Pepperdine ,WCC ,30,5,25,619,20.6,2023-2024
86,Western Caro. ,SoCon ,30,6,24,618,20.6,2023-2024
87,Lamar University ,Southland ,31,24,7,636,20.5,2023-2024
88,Louisiana Tech ,CUSA ,33,14,19,675,20.5,2023-2024
88,Fairfield ,MAAC ,33,31,2,675,20.5,2023-2024
90,New Orleans ,Southland ,30,11,19,613,20.4,2023-2024
91,Towson ,CAA ,31,20,11,633,20.4,2023-2024
92,Maryland ,Big Ten ,33,19,14,673,20.4,2023-2024
93,UC Santa Barbara ,Big West ,31,16,15,632,20.4,2023-2024
94,Colorado ,Pac-12 ,34,24,10,693,20.4,2023-2024
95,Columbia ,Ivy League ,30,23,7,610,20.3,2023-2024
96,Troy ,Sun Belt ,34,22,12,690,20.3,2023-2024
97,Longwood ,Big South ,30,9,21,607,20.2,2023-2024
98,Alabama St. ,SWAC ,29,3,26,586,20.2,2023-2024
99,Temple ,AAC ,32,20,12,646,20.2,2023-2024
100,Wichita St. ,AAC ,32,10,22,644,20.1,2023-2024
101,Tennessee ,SEC ,33,20,13,663,20.1,2023-2024
102,William & Mary ,CAA ,29,15,14,580,20,2023-2024
103,App State ,Sun Belt ,32,17,15,638,19.9,2023-2024
104,Morgan St. ,MEAC ,30,8,22,598,19.9,2023-2024
105,Ark.-Pine Bluff ,SWAC ,33,17,16,655,19.8,2023-2024
106,NIU ,MAC ,31,15,16,615,19.8,2023-2024
107,UTSA ,AAC ,33,18,15,654,19.8,2023-2024
108,Kansas St. ,Big 12 ,34,26,8,672,19.8,2023-2024
109,Northwestern ,Big Ten ,30,9,21,592,19.7,2023-2024
110,Stony Brook ,CAA ,33,28,5,646,19.6,2023-2024
111,Kent St. ,MAC ,32,21,11,624,19.5,2023-2024
112,Iowa ,Big Ten ,39,34,5,758,19.4,2023-2024
113,Richmond ,Atlantic 10 ,35,29,6,680,19.4,2023-2024
114,Purdue ,Big Ten ,34,15,19,660,19.4,2023-2024
115,SFA ,WAC ,34,22,12,659,19.4,2023-2024
116,Saint Mary's CA,WCC,31,13,18,599,19.3,2023-2024
117,Elon ,CAA ,32,11,21,618,19.3,2023-2024
118,Iowa St. ,Big 12 ,33,21,12,637,19.3,2023-2024
119,Utah St. ,Mountain West ,30,5,25,577,19.2,2023-2024
120,California ,Pac-12 ,34,19,15,653,19.2,2023-2024
121,LMU CA,WCC,30,11,19,575,19.2,2023-2024
122,Delaware St. ,MEAC ,28,8,20,536,19.1,2023-2024
123,Northwestern St. ,Southland ,30,11,19,571,19,2023-2024
124,Mississippi Val. ,SWAC ,31,4,27,587,18.9,2023-2024
125,Santa Clara ,WCC ,34,25,9,641,18.9,2023-2024
126,Western Mich. ,MAC ,30,12,18,564,18.8,2023-2024
127,Abilene Christian ,WAC ,30,14,16,563,18.8,2023-2024
128,Butler ,Big East ,32,15,17,600,18.8,2023-2024
129,USC Upstate ,Big South ,32,16,16,599,18.7,2023-2024
130,Stanford ,Pac-12 ,36,30,6,673,18.7,2023-2024
131,Wagner ,NEC ,28,7,21,523,18.7,2023-2024
132,Saint Louis ,Atlantic 10 ,40,22,18,747,18.7,2023-2024
133,Southeast Mo. St. ,OVC ,29,9,20,541,18.7,2023-2024
134,Purdue Fort Wayne ,Horizon ,36,23,13,671,18.6,2023-2024
135,Eastern Ky. ,ASUN ,34,22,12,633,18.6,2023-2024
136,Louisiana ,Sun Belt ,31,17,14,577,18.6,2023-2024
137,Tennessee St. ,OVC ,30,11,19,556,18.5,2023-2024
138,South Fla. ,AAC ,33,19,14,611,18.5,2023-2024
139,South Carolina St. ,MEAC ,30,2,28,555,18.5,2023-2024
140,Idaho St. ,Big Sky ,30,11,19,554,18.5,2023-2024
141,Campbell ,CAA ,31,17,14,572,18.5,2023-2024
142,Kennesaw St. ,ASUN ,30,11,19,552,18.4,2023-2024
143,Robert Morris ,Horizon ,30,6,24,551,18.4,2023-2024
144,North Florida ,ASUN ,30,9,21,550,18.3,2023-2024
144,Wyoming ,Mountain West ,33,18,15,605,18.3,2023-2024
146,Detroit Mercy ,Horizon ,33,17,16,604,18.3,2023-2024
147,Bradley ,MVC ,32,6,26,585,18.3,2023-2024
148,UNC Greensboro ,SoCon ,33,21,12,601,18.2,2023-2024
149,Princeton ,Ivy League ,30,25,5,545,18.2,2023-2024
150,Cincinnati ,Big 12 ,32,14,18,580,18.1,2023-2024
151,Austin Peay ,ASUN ,33,17,16,598,18.1,2023-2024
152,New Mexico St. ,CUSA ,31,13,18,560,18.1,2023-2024
153,Ole Miss ,SEC ,33,24,9,595,18,2023-2024
154,Montana ,Big Sky ,33,23,10,594,18,2023-2024
154,Georgia ,SEC ,30,12,18,540,18,2023-2024
156,DePaul ,Big East ,32,12,20,575,18,2023-2024
157,Cal St. Fullerton ,Big West ,31,10,21,553,17.8,2023-2024
158,Georgetown ,Big East ,35,23,12,624,17.8,2023-2024
159,South Alabama ,Sun Belt ,32,9,23,570,17.8,2023-2024
160,Seton Hall ,Big East ,32,17,15,568,17.8,2023-2024
161,Mississippi St. ,SEC ,35,23,12,619,17.7,2023-2024
162,La Salle ,Atlantic 10 ,30,8,22,530,17.7,2023-2024
162,IU Indy ,Horizon ,30,7,23,530,17.7,2023-2024
164,San Jose St. ,Mountain West ,31,7,24,547,17.6,2023-2024
165,Texas Tech ,Big 12 ,33,17,16,582,17.6,2023-2024
166,California Baptist ,WAC ,32,28,4,563,17.6,2023-2024
167,UTEP ,CUSA ,31,12,19,545,17.6,2023-2024
168,North Dakota ,Summit League ,30,9,21,527,17.6,2023-2024
169,Army West Point ,Patriot ,29,12,17,507,17.5,2023-2024
170,George Washington ,Atlantic 10 ,31,13,18,541,17.5,2023-2024
171,Coastal Carolina ,Sun Belt ,33,12,21,574,17.4,2023-2024
172,Texas A&M ,SEC ,32,19,13,555,17.3,2023-2024
173,Air Force ,Mountain West ,32,15,17,554,17.3,2023-2024
174,Hofstra ,CAA ,32,11,21,553,17.3,2023-2024
174,Western Ky. ,CUSA ,32,15,17,553,17.3,2023-2024
176,UAB ,AAC ,32,18,14,550,17.2,2023-2024
176,Indiana St. ,MVC ,32,11,21,550,17.2,2023-2024
178,UMBC ,America East ,29,10,19,497,17.1,2023-2024
179,Rutgers ,Big Ten ,32,8,24,547,17.1,2023-2024
180,West Virginia ,Big 12 ,33,25,8,564,17.1,2023-2024
181,Cornell ,Ivy League ,26,7,19,444,17.1,2023-2024
182,Jacksonville ,ASUN ,31,11,20,529,17.1,2023-2024
183,Arizona ,Pac-12 ,34,18,16,578,17,2023-2024
184,Akron ,MAC ,29,11,18,492,17,2023-2024
185,Cal Poly ,Big West ,31,17,14,525,16.9,2023-2024
186,Wake Forest ,ACC ,32,7,25,541,16.9,2023-2024
187,N.C. Central ,MEAC ,31,16,15,524,16.9,2023-2024
188,Eastern Wash. ,Big Sky ,35,29,6,591,16.9,2023-2024
189,Michigan ,Big Ten ,34,20,14,574,16.9,2023-2024
189,Drexel ,CAA ,34,19,15,574,16.9,2023-2024
191,Gardner-Webb ,Big South ,30,6,24,506,16.9,2023-2024
192,Lehigh ,Patriot ,30,17,13,505,16.8,2023-2024
193,Merrimack ,NEC ,31,12,19,521,16.8,2023-2024
194,Valparaiso ,MVC ,30,5,25,503,16.8,2023-2024
195,LIU ,NEC ,30,8,22,501,16.7,2023-2024
196,Navy ,Patriot ,31,14,17,517,16.7,2023-2024
197,Sacred Heart ,NEC ,34,24,10,567,16.7,2023-2024
198,Utah ,Pac-12 ,34,23,11,566,16.6,2023-2024
199,VCU ,Atlantic 10 ,32,26,6,532,16.6,2023-2024
200,Eastern Mich. ,MAC ,29,7,22,482,16.6,2023-2024
201,Vanderbilt ,SEC ,33,23,10,547,16.6,2023-2024
202,American ,Patriot ,30,10,20,497,16.6,2023-2024
203,Pittsburgh ,ACC ,32,8,24,530,16.6,2023-2024
203,Old Dominion ,Sun Belt ,32,22,10,530,16.6,2023-2024
205,Alabama A&M ,SWAC ,31,15,16,512,16.5,2023-2024
206,Milwaukee ,Horizon ,32,16,16,527,16.5,2023-2024
207,Norfolk St. ,MEAC ,33,27,6,541,16.4,2023-2024
208,Northern Colo. ,Big Sky ,31,15,16,507,16.4,2023-2024
209,UCLA ,Pac-12 ,34,27,7,555,16.3,2023-2024
210,Ohio St. ,Big Ten ,32,26,6,519,16.2,2023-2024
211,Canisius ,MAAC ,31,17,14,502,16.2,2023-2024
211,SIUE ,OVC ,31,5,26,502,16.2,2023-2024
213,Charleston So. ,Big South ,30,11,19,484,16.1,2023-2024
214,Nicholls ,Southland ,32,14,18,516,16.1,2023-2024
215,UT Arlington ,WAC ,33,17,16,532,16.1,2023-2024
216,Fordham ,Atlantic 10 ,29,12,17,467,16.1,2023-2024
217,Evansville ,MVC ,32,4,28,515,16.1,2023-2024
218,Vermont ,America East ,37,25,12,595,16.1,2023-2024
219,Samford ,SoCon ,30,14,16,479,16,2023-2024
220,UMass Lowell ,America East ,29,4,25,460,15.9,2023-2024
220,CSU Bakersfield ,Big West ,29,8,21,460,15.9,2023-2024
220,Houston Christian ,Southland ,29,6,23,460,15.9,2023-2024
223,East Carolina ,AAC ,33,19,14,523,15.8,2023-2024
224,Washington St. ,Pac-12 ,36,21,15,567,15.8,2023-2024
225,Pacific ,WCC ,34,19,15,535,15.7,2023-2024
226,Lipscomb ,ASUN ,30,17,13,472,15.7,2023-2024
227,Chattanooga ,SoCon ,33,28,5,518,15.7,2023-2024
228,Seattle U ,WAC ,29,6,23,453,15.6,2023-2024
229,CSUN ,Big West ,30,3,27,468,15.6,2023-2024
230,Clemson ,ACC ,31,12,19,483,15.6,2023-2024
231,Cleveland St. ,Horizon ,35,29,6,543,15.5,2023-2024
231,ULM ,Sun Belt ,35,21,14,543,15.5,2023-2024
233,Boston College ,ACC ,33,14,19,509,15.4,2023-2024
234,Missouri ,SEC ,30,11,19,460,15.3,2023-2024
235,Mercer ,SoCon ,32,15,17,490,15.3,2023-2024
236,Binghamton ,America East ,31,14,17,473,15.3,2023-2024
237,Col. of Charleston ,CAA ,32,22,10,488,15.3,2023-2024
238,Charlotte ,AAC ,31,16,15,472,15.2,2023-2024
239,Davidson ,Atlantic 10 ,26,18,8,395,15.2,2023-2024
240,ETSU ,SoCon ,30,18,12,455,15.2,2023-2024
241,Chicago St. ,DI Independent ,27,1,26,407,15.1,2023-2024
242,San Diego ,WCC ,31,9,22,467,15.1,2023-2024
243,San Diego St. ,Mountain West ,35,22,13,526,15,2023-2024
244,Georgia Tech ,ACC ,33,17,16,494,15,2023-2024
245,Syracuse ,ACC ,32,24,8,476,14.9,2023-2024
246,Loyola Chicago ,Atlantic 10 ,31,15,16,460,14.8,2023-2024
247,NJIT ,America East ,30,12,18,445,14.8,2023-2024
248,South Dakota St. ,Summit League ,33,27,6,489,14.8,2023-2024
249,Florida A&M ,SWAC ,30,9,21,444,14.8,2023-2024
250,Radford ,Big South ,33,15,18,488,14.8,2023-2024
251,Boston U. ,Patriot ,32,20,12,472,14.8,2023-2024
252,Wright St. ,Horizon ,33,18,15,478,14.5,2023-2024
