Rank TOFrcPG,Team,Conference,Games,Wins,Losses,Opponents Turnovers,Average,Season
218,Akron ,MAC ,29,11,18,434,14.97,2023-2024
219,Sacramento St. ,Big Sky ,31,6,25,463,14.94,2023-2024
220,Columbia ,Ivy League ,30,23,7,448,14.93,2023-2024
221,Buffalo ,MAC ,33,19,14,492,14.91,2023-2024
222,Wofford ,SoCon ,30,17,13,447,14.9,2023-2024
223,Binghamton ,America East ,31,14,17,461,14.87,2023-2024
224,Georgia ,SEC ,30,12,18,446,14.87,2023-2024
225,Central Ark. ,ASUN ,33,21,12,490,14.85,2023-2024
226,UCLA ,Pac-12 ,34,27,7,504,14.82,2023-2024
227,Evansville ,MVC ,32,4,28,473,14.78,2023-2024
228,ETSU ,SoCon ,30,18,12,443,14.77,2023-2024
228,South Carolina St. ,MEAC ,30,2,28,443,14.77,2023-2024
230,Florida St. ,ACC ,34,23,11,501,14.74,2023-2024
231,San Francisco ,WCC ,30,14,16,442,14.73,2023-2024
232,South Alabama ,Sun Belt ,32,9,23,471,14.72,2023-2024
232,Youngstown St. ,Horizon ,32,14,18,471,14.72,2023-2024
234,IU Indy ,Horizon ,30,7,23,441,14.7,2023-2024
235,Arkansas ,SEC ,33,18,15,485,14.7,2023-2024
236,Cincinnati ,Big 12 ,32,14,18,470,14.69,2023-2024
236,Wisconsin ,Big Ten ,32,15,17,470,14.69,2023-2024
238,Georgetown ,Big East ,35,23,12,513,14.66,2023-2024
239,UC Davis ,Big West ,34,20,14,498,14.65,2023-2024
240,UT Martin ,OVC ,33,16,17,483,14.64,2023-2024
241,Presbyterian ,Big South ,36,21,15,526,14.61,2023-2024
242,North Florida ,ASUN ,30,9,21,438,14.6,2023-2024
243,Milwaukee ,Horizon ,32,16,16,467,14.59,2023-2024
244,UTRGV ,WAC ,29,6,23,422,14.55,2023-2024
245,Furman ,SoCon ,31,15,16,451,14.55,2023-2024
246,Eastern Ill. ,OVC ,33,15,18,480,14.55,2023-2024
246,Kansas ,Big 12 ,33,20,13,480,14.55,2023-2024
248,Oklahoma St. ,Big 12 ,30,14,16,436,14.53,2023-2024
249,Alcorn ,SWAC ,32,12,20,465,14.53,2023-2024
249,VCU ,Atlantic 10 ,32,26,6,465,14.53,2023-2024
251,UMass Lowell ,America East ,29,4,25,421,14.52,2023-2024
252,Gardner-Webb ,Big South ,30,6,24,434,14.47,2023-2024
252,Lipscomb ,ASUN ,30,17,13,434,14.47,2023-2024
252,NJIT ,America East ,30,12,18,434,14.47,2023-2024
255,Northwestern St. ,Southland ,30,11,19,433,14.43,2023-2024
256,Northeastern ,CAA ,27,10,17,389,14.41,2023-2024
257,UNC Greensboro ,SoCon ,33,21,12,475,14.39,2023-2024
258,Penn ,Ivy League ,28,15,13,403,14.39,2023-2024
259,Iowa ,Big Ten ,39,34,5,561,14.38,2023-2024
260,Belmont ,MVC ,35,26,9,503,14.37,2023-2024
261,Mississippi St. ,SEC ,35,23,12,501,14.31,2023-2024
261,Nebraska ,Big Ten ,35,23,12,501,14.31,2023-2024
261,Richmond ,Atlantic 10 ,35,29,6,501,14.31,2023-2024
264,UNI ,MVC ,32,16,16,457,14.28,2023-2024
265,Illinois ,Big Ten ,34,19,15,485,14.26,2023-2024
266,Yale ,Ivy League ,27,8,19,385,14.26,2023-2024
267,Northern Colo. ,Big Sky ,31,15,16,442,14.26,2023-2024
268,Maine ,America East ,34,24,10,484,14.24,2023-2024
269,Tulsa ,AAC ,35,25,10,498,14.23,2023-2024
270,Dayton ,Atlantic 10 ,31,12,19,441,14.23,2023-2024
270,Washington ,Pac-12 ,31,16,15,441,14.23,2023-2024
272,Middle Tenn. ,CUSA ,35,30,5,497,14.2,2023-2024
273,Loyola Maryland ,Patriot ,31,16,15,440,14.19,2023-2024
274,Pittsburgh ,ACC ,32,8,24,452,14.13,2023-2024
275,New Mexico ,Mountain West ,32,21,11,451,14.09,2023-2024
276,Houston Christian ,Southland ,29,6,23,408,14.07,2023-2024
277,Bryant ,America East ,30,15,15,422,14.07,2023-2024
278,Quinnipiac ,MAAC ,31,13,18,436,14.06,2023-2024
279,Saint Joseph's ,Atlantic 10 ,34,28,6,478,14.06,2023-2024
280,Samford ,SoCon ,30,14,16,421,14.03,2023-2024
281,Rutgers ,Big Ten ,32,8,24,449,14.03,2023-2024
282,Colgate ,Patriot ,34,20,14,476,14,2023-2024
282,Georgia Tech ,ACC ,33,17,16,462,14,2023-2024
282,SIUE ,OVC ,31,5,26,434,14,2023-2024
285,UAB ,AAC ,32,18,14,446,13.94,2023-2024
286,Boise St. ,Mountain West ,35,21,14,487,13.91,2023-2024
287,Tulane ,AAC ,32,12,20,442,13.81,2023-2024
288,Lehigh ,Patriot ,30,17,13,414,13.8,2023-2024
289,Indiana ,Big Ten ,32,26,6,441,13.78,2023-2024
290,Idaho ,Big Sky ,31,15,16,427,13.77,2023-2024
291,Fla. Atlantic ,AAC ,30,11,19,413,13.77,2023-2024
292,Iona ,MAAC ,30,11,19,411,13.7,2023-2024
293,UTSA ,AAC ,33,18,15,452,13.7,2023-2024
294,California ,Pac-12 ,34,19,15,465,13.68,2023-2024
295,Missouri ,SEC ,30,11,19,410,13.67,2023-2024
296,Pepperdine ,WCC ,30,5,25,409,13.63,2023-2024
297,Hawaii ,Big West ,31,20,11,421,13.58,2023-2024
297,Northern Ky. ,Horizon ,31,11,20,421,13.58,2023-2024
299,Rider ,MAAC ,31,10,21,420,13.55,2023-2024
300,Providence ,Big East ,34,13,21,460,13.53,2023-2024
301,Marist ,MAAC ,31,6,25,418,13.48,2023-2024
302,Duquesne ,Atlantic 10 ,34,21,13,458,13.47,2023-2024
303,Boston U. ,Patriot ,32,20,12,431,13.47,2023-2024
304,Detroit Mercy ,Horizon ,33,17,16,444,13.45,2023-2024
