Rank BPG,Team,Conference,Games,Wins,Losses,Blocks,BlocksPerGame,Season
120,UC Davis ,Big West ,34,20,14,116,3.4,2023-2024
121,Harvard ,Ivy League ,28,16,12,95,3.4,2023-2024
122,San Diego ,WCC ,31,9,22,105,3.4,2023-2024
123,Utah Valley ,WAC ,29,10,19,98,3.4,2023-2024
124,Florida ,SEC ,32,16,16,108,3.4,2023-2024
125,SMU ,AAC ,30,14,16,101,3.4,2023-2024
125,Pepperdine ,WCC ,30,5,25,101,3.4,2023-2024
127,Montana ,Big Sky ,33,23,10,111,3.4,2023-2024
128,Iowa ,Big Ten ,39,34,5,131,3.4,2023-2024
129,Campbell ,CAA ,31,17,14,104,3.4,2023-2024
130,Temple ,AAC ,32,20,12,107,3.3,2023-2024
130,Cincinnati ,Big 12 ,32,14,18,107,3.3,2023-2024
132,Kennesaw St. ,ASUN ,30,11,19,100,3.3,2023-2024
132,Lipscomb ,ASUN ,30,17,13,100,3.3,2023-2024
132,West Virginia ,Big 12 ,33,25,8,110,3.3,2023-2024
132,Morehead St. ,OVC ,30,15,15,100,3.3,2023-2024
136,Ball St. ,MAC ,34,28,6,113,3.3,2023-2024
137,Mississippi Val. ,SWAC ,31,4,27,103,3.3,2023-2024
138,FIU ,CUSA ,33,21,12,109,3.3,2023-2024
139,Pacific ,WCC ,34,19,15,112,3.3,2023-2024
140,Gonzaga ,WCC ,36,32,4,118,3.3,2023-2024
141,Ohio St. ,Big Ten ,32,26,6,104,3.3,2023-2024
142,Wyoming ,Mountain West ,33,18,15,107,3.2,2023-2024
143,UTRGV ,WAC ,29,6,23,94,3.2,2023-2024
144,Western Ky. ,CUSA ,32,15,17,103,3.2,2023-2024
145,UMass Lowell ,America East ,29,4,25,93,3.2,2023-2024
146,Idaho St. ,Big Sky ,30,11,19,96,3.2,2023-2024
146,San Diego St. ,Mountain West ,35,22,13,112,3.2,2023-2024
148,Howard ,MEAC ,31,15,16,99,3.2,2023-2024
149,DePaul ,Big East ,32,12,20,102,3.2,2023-2024
149,Alcorn ,SWAC ,32,12,20,102,3.2,2023-2024
151,Detroit Mercy ,Horizon ,33,17,16,105,3.2,2023-2024
152,ULM ,Sun Belt ,35,21,14,111,3.2,2023-2024
153,Binghamton ,America East ,31,14,17,98,3.2,2023-2024
154,Norfolk St. ,MEAC ,33,27,6,104,3.2,2023-2024
154,Tennessee ,SEC ,33,20,13,104,3.2,2023-2024
156,Georgia St. ,Sun Belt ,30,15,15,94,3.1,2023-2024
157,Rider ,MAAC ,31,10,21,97,3.1,2023-2024
157,Southern Ill. ,MVC ,31,11,20,97,3.1,2023-2024
159,Santa Clara ,WCC ,34,25,9,106,3.1,2023-2024
160,Valparaiso ,MVC ,30,5,25,93,3.1,2023-2024
161,Cal St. Fullerton ,Big West ,31,10,21,96,3.1,2023-2024
161,Hawaii ,Big West ,31,20,11,96,3.1,2023-2024
163,Elon ,CAA ,32,11,21,99,3.1,2023-2024
164,Yale ,Ivy League ,27,8,19,83,3.1,2023-2024
165,George Mason ,Atlantic 10 ,31,23,8,95,3.1,2023-2024
166,Kentucky ,SEC ,32,12,20,98,3.1,2023-2024
166,Old Dominion ,Sun Belt ,32,22,10,98,3.1,2023-2024
168,Troy ,Sun Belt ,34,22,12,104,3.1,2023-2024
169,Oakland ,Horizon ,29,12,17,88,3,2023-2024
170,Charleston So. ,Big South ,30,11,19,91,3,2023-2024
170,Robert Morris ,Horizon ,30,6,24,91,3,2023-2024
172,San Jose St. ,Mountain West ,31,7,24,94,3,2023-2024
173,Purdue ,Big Ten ,34,15,19,103,3,2023-2024
174,Iowa St. ,Big 12 ,33,21,12,99,3,2023-2024
174,N.C. A&T ,CAA ,34,22,12,102,3,2023-2024
174,Siena ,MAAC ,30,18,12,90,3,2023-2024
174,LIU ,NEC ,30,8,22,90,3,2023-2024
174,Northwestern St. ,Southland ,30,11,19,90,3,2023-2024
174,Seattle U ,WAC ,29,6,23,87,3,2023-2024
180,Saint Joseph's ,Atlantic 10 ,34,28,6,101,3,2023-2024
181,Missouri St. ,MVC ,33,23,10,98,3,2023-2024
181,UT Martin ,OVC ,33,16,17,98,3,2023-2024
183,High Point ,Big South ,32,20,12,95,3,2023-2024
183,UNI ,MVC ,32,16,16,95,3,2023-2024
183,App State ,Sun Belt ,32,17,15,95,3,2023-2024
186,Alabama A&M ,SWAC ,31,15,16,92,3,2023-2024
187,Mount St. Mary's ,MAAC ,31,14,17,91,2.9,2023-2024
188,Georgia ,SEC ,30,12,18,88,2.9,2023-2024
189,Toledo ,MAC ,34,28,6,99,2.9,2023-2024
189,Colorado ,Pac-12 ,34,24,10,99,2.9,2023-2024
191,Tulane ,AAC ,32,12,20,92,2.9,2023-2024
191,Nevada ,Mountain West ,32,16,16,92,2.9,2023-2024
193,SIUE ,OVC ,31,5,26,89,2.9,2023-2024
194,Cleveland St. ,Horizon ,35,29,6,100,2.9,2023-2024
195,UNCW ,CAA ,30,5,25,85,2.8,2023-2024
196,William & Mary ,CAA ,29,15,14,82,2.8,2023-2024
197,Long Beach St. ,Big West ,33,15,18,93,2.8,2023-2024
198,New Mexico ,Mountain West ,32,21,11,90,2.8,2023-2024
199,Sacramento St. ,Big Sky ,31,6,25,87,2.8,2023-2024
200,California ,Pac-12 ,34,19,15,95,2.8,2023-2024
200,Southern Miss. ,Sun Belt ,34,20,14,95,2.8,2023-2024
202,UAB ,AAC ,32,18,14,89,2.8,2023-2024
202,Stetson ,ASUN ,32,17,15,89,2.8,2023-2024
204,Northern Colo. ,Big Sky ,31,15,16,86,2.8,2023-2024
204,Bowling Green ,MAC ,31,16,15,86,2.8,2023-2024
206,James Madison ,Sun Belt ,35,23,12,97,2.8,2023-2024
207,North Dakota St. ,Summit League ,34,22,12,93,2.7,2023-2024
208,Bryant ,America East ,30,15,15,82,2.7,2023-2024
208,Western Ill. ,OVC ,30,18,12,82,2.7,2023-2024
210,Murray St. ,MVC ,32,20,12,87,2.7,2023-2024
211,Delaware ,CAA ,31,11,20,84,2.7,2023-2024
212,Rice ,AAC ,34,19,15,92,2.7,2023-2024
213,South Carolina St. ,MEAC ,30,2,28,81,2.7,2023-2024
213,New Orleans ,Southland ,30,11,19,81,2.7,2023-2024
215,North Texas ,AAC ,32,23,9,86,2.7,2023-2024
215,VCU ,Atlantic 10 ,32,26,6,86,2.7,2023-2024
217,Idaho ,Big Sky ,31,15,16,83,2.7,2023-2024
217,Southeastern La. ,Southland ,31,19,12,83,2.7,2023-2024
219,Purdue Fort Wayne ,Horizon ,36,23,13,96,2.7,2023-2024
219,South Dakota ,Summit League ,36,23,13,96,2.7,2023-2024
221,Merrimack ,NEC ,31,12,19,82,2.6,2023-2024
222,Boston College ,ACC ,33,14,19,87,2.6,2023-2024
223,FGCU ,ASUN ,34,29,5,89,2.6,2023-2024
224,Wagner ,NEC ,28,7,21,73,2.6,2023-2024
225,Marshall ,Sun Belt ,33,26,7,86,2.6,2023-2024
226,Lafayette ,Patriot ,30,10,20,78,2.6,2023-2024
227,Hofstra ,CAA ,32,11,21,83,2.6,2023-2024
228,Akron ,MAC ,29,11,18,75,2.6,2023-2024
228,Miami OH,MAC ,29,9,20,75,2.6,2023-2024
230,Dayton ,Atlantic 10 ,31,12,19,80,2.6,2023-2024
231,Radford ,Big South ,33,15,18,85,2.6,2023-2024
232,Tennessee St. ,OVC ,30,11,19,77,2.6,2023-2024
233,UC Irvine ,Big West ,32,23,9,82,2.6,2023-2024
234,Baylor ,Big 12 ,34,26,8,87,2.6,2023-2024
234,Illinois ,Big Ten ,34,19,15,87,2.6,2023-2024
236,CSU Bakersfield ,Big West ,29,8,21,74,2.6,2023-2024
237,Loyola Chicago ,Atlantic 10 ,31,15,16,79,2.5,2023-2024
238,Fairfield ,MAAC ,33,31,2,84,2.5,2023-2024
239,Eastern Wash. ,Big Sky ,35,29,6,89,2.5,2023-2024
240,Dartmouth ,Ivy League ,26,7,19,66,2.5,2023-2024
241,Oklahoma St. ,Big 12 ,30,14,16,76,2.5,2023-2024
241,LMU CA,WCC,30,11,19,76,2.5,2023-2024
241,Little Rock ,OVC ,30,12,18,76,2.5,2023-2024
244,Northeastern ,CAA ,27,10,17,68,2.5,2023-2024
