Rank FTMPG,Team,Conference,Games,Wins,Losses,Free Throws Made,Free Throws Attempted,Avg,Season
45,Ohio St. ,Big Ten ,32,26,6,450,629,14.06,2023-2024
46,East Carolina ,AAC ,33,19,14,464,651,14.06,2023-2024
46,FIU ,CUSA ,33,21,12,464,654,14.06,2023-2024
46,Marshall ,Sun Belt ,33,26,7,464,692,14.06,2023-2024
49,Drake ,MVC ,35,29,6,492,638,14.06,2023-2024
50,Southern California ,Pac-12 ,35,29,6,491,655,14.03,2023-2024
51,George Mason ,Atlantic 10 ,31,23,8,434,599,14,2023-2024
52,Rutgers ,Big Ten ,32,8,24,446,625,13.94,2023-2024
53,Notre Dame ,ACC ,35,28,7,485,631,13.86,2023-2024
54,Saint Louis ,Atlantic 10 ,40,22,18,554,714,13.85,2023-2024
55,Kansas ,Big 12 ,33,20,13,456,636,13.82,2023-2024
56,Howard ,MEAC ,31,15,16,428,626,13.81,2023-2024
57,SMU ,AAC ,30,14,16,411,591,13.7,2023-2024
58,Troy ,Sun Belt ,34,22,12,464,654,13.65,2023-2024
59,Southern Ill. ,MVC ,31,11,20,420,603,13.55,2023-2024
60,Ga. Southern ,Sun Belt ,33,15,18,447,675,13.55,2023-2024
61,Arkansas ,SEC ,33,18,15,446,619,13.52,2023-2024
62,FGCU ,ASUN ,34,29,5,459,648,13.5,2023-2024
63,Texas Tech ,Big 12 ,33,17,16,445,583,13.48,2023-2024
63,West Virginia ,Big 12 ,33,25,8,445,646,13.48,2023-2024
65,Virginia ,ACC ,32,16,16,431,558,13.47,2023-2024
66,North Dakota ,Summit League ,30,9,21,404,549,13.47,2023-2024
67,Arkansas St. ,Sun Belt ,30,13,17,403,534,13.43,2023-2024
68,South Dakota St. ,Summit League ,33,27,6,443,626,13.42,2023-2024
69,Michigan St. ,Big Ten ,31,22,9,414,562,13.35,2023-2024
70,Alabama ,SEC ,34,24,10,454,638,13.35,2023-2024
71,Texas St. ,Sun Belt ,32,14,18,427,577,13.34,2023-2024
72,Tennessee Tech ,OVC ,31,16,15,413,537,13.32,2023-2024
73,Auburn ,SEC ,32,20,12,426,605,13.31,2023-2024
74,William & Mary ,CAA ,29,15,14,386,521,13.31,2023-2024
75,UT Arlington ,WAC ,33,17,16,439,626,13.3,2023-2024
76,Penn St. ,Big Ten ,35,22,13,464,619,13.26,2023-2024
77,UTRGV ,WAC ,29,6,23,383,522,13.21,2023-2024
78,Lehigh ,Patriot ,30,17,13,396,512,13.2,2023-2024
78,Mississippi St. ,SEC ,35,23,12,462,633,13.2,2023-2024
80,Stony Brook ,CAA ,33,28,5,435,570,13.18,2023-2024
81,Georgia St. ,Sun Belt ,30,15,15,395,555,13.17,2023-2024
81,UIW ,Southland ,30,19,11,395,547,13.17,2023-2024
83,Florida ,SEC ,32,16,16,421,587,13.16,2023-2024
84,Northern Ky. ,Horizon ,31,11,20,407,597,13.13,2023-2024
85,Arizona ,Pac-12 ,34,18,16,442,591,13,2023-2024
85,Middle Tenn. ,CUSA ,35,30,5,455,592,13,2023-2024
87,James Madison ,Sun Belt ,35,23,12,454,671,12.97,2023-2024
88,UTEP ,CUSA ,31,12,19,402,594,12.97,2023-2024
89,UAB ,AAC ,32,18,14,413,540,12.91,2023-2024
90,Niagara ,MAAC ,35,21,14,450,656,12.86,2023-2024
91,Furman ,SoCon ,31,15,16,398,563,12.84,2023-2024
92,Southeast Mo. St. ,OVC ,29,9,20,372,527,12.83,2023-2024
93,Toledo ,MAC ,34,28,6,436,588,12.82,2023-2024
94,Lamar University ,Southland ,31,24,7,397,553,12.81,2023-2024
95,Illinois ,Big Ten ,34,19,15,434,546,12.76,2023-2024
96,South Carolina ,SEC ,38,38,0,484,703,12.74,2023-2024
97,UCLA ,Pac-12 ,34,27,7,433,581,12.74,2023-2024
98,Wright St. ,Horizon ,33,18,15,420,535,12.73,2023-2024
99,Montana St. ,Big Sky ,33,17,16,419,555,12.7,2023-2024
100,South Alabama ,Sun Belt ,32,9,23,406,566,12.69,2023-2024
101,Northern Ariz. ,Big Sky ,35,25,10,444,568,12.69,2023-2024
102,Rice ,AAC ,34,19,15,431,567,12.68,2023-2024
103,Nebraska ,Big Ten ,35,23,12,443,603,12.66,2023-2024
104,Col. of Charleston ,CAA ,32,22,10,405,556,12.66,2023-2024
105,Hampton ,CAA ,29,3,26,367,566,12.66,2023-2024
106,Ball St. ,MAC ,34,28,6,430,606,12.65,2023-2024
107,Northern Colo. ,Big Sky ,31,15,16,392,572,12.65,2023-2024
108,Wichita St. ,AAC ,32,10,22,404,608,12.63,2023-2024
109,San Diego St. ,Mountain West ,35,22,13,441,583,12.6,2023-2024
110,Southeastern La. ,Southland ,31,19,12,390,564,12.58,2023-2024
111,Houston ,Big 12 ,30,14,16,377,517,12.57,2023-2024
112,VCU ,Atlantic 10 ,32,26,6,402,562,12.56,2023-2024
113,Buffalo ,MAC ,33,19,14,412,558,12.48,2023-2024
113,Chattanooga ,SoCon ,33,28,5,412,534,12.48,2023-2024
113,UT Martin ,OVC ,33,16,17,412,532,12.48,2023-2024
116,Clemson ,ACC ,31,12,19,387,537,12.48,2023-2024
117,Syracuse ,ACC ,32,24,8,398,545,12.44,2023-2024
118,Belmont ,MVC ,35,26,9,435,613,12.43,2023-2024
