Rank ATR,Team,Conference,Games,wins,losses,Assist,Turnover,Ratio,Season
181,Arkansas St. ,Sun Belt ,30,13,17,336,410,0.82,2023-2024
182,Idaho ,Big Sky ,31,15,16,344,420,0.82,2023-2024
183,UC Riverside ,Big West ,32,18,14,369,452,0.82,2023-2024
184,Georgetown ,Big East ,35,23,12,436,536,0.81,2023-2024
185,UC Irvine ,Big West ,32,23,9,381,469,0.81,2023-2024
186,Lipscomb ,ASUN ,30,17,13,349,430,0.81,2023-2024
187,Omaha ,Summit League ,31,8,23,379,467,0.81,2023-2024
188,Jackson St. ,SWAC ,33,26,7,404,498,0.81,2023-2024
189,LMU CA,WCC,30,11,19,385,475,0.81,2023-2024
190,Western Mich. ,MAC ,30,12,18,388,479,0.81,2023-2024
191,Nevada ,Mountain West ,32,16,16,378,467,0.81,2023-2024
192,SIUE ,OVC ,31,5,26,446,553,0.81,2023-2024
193,Kansas ,Big 12 ,33,20,13,356,442,0.81,2023-2024
194,Miami FL,ACC ,31,19,12,401,499,0.8,2023-2024
195,Central Conn. St. ,NEC ,30,9,21,340,424,0.8,2023-2024
196,Northern Ky. ,Horizon ,31,11,20,387,485,0.8,2023-2024
197,North Ala. ,ASUN ,30,12,18,426,535,0.8,2023-2024
198,Florida ,SEC ,32,16,16,382,480,0.8,2023-2024
199,FDU ,NEC ,31,14,17,378,475,0.8,2023-2024
200,Ole Miss ,SEC ,33,24,9,411,517,0.79,2023-2024
201,Campbell ,CAA ,31,17,14,411,520,0.79,2023-2024
202,UTSA ,AAC ,33,18,15,446,565,0.79,2023-2024
203,Canisius ,MAAC ,31,17,14,408,517,0.79,2023-2024
204,Cal St. Fullerton ,Big West ,31,10,21,411,521,0.79,2023-2024
205,Eastern Ill. ,OVC ,33,15,18,461,585,0.79,2023-2024
206,Arizona St. ,Pac-12 ,31,11,20,301,383,0.79,2023-2024
207,Northern Colo. ,Big Sky ,31,15,16,422,537,0.79,2023-2024
208,Southern Miss. ,Sun Belt ,34,20,14,443,565,0.78,2023-2024
209,Chattanooga ,SoCon ,33,28,5,320,409,0.78,2023-2024
210,Texas Tech ,Big 12 ,33,17,16,425,544,0.78,2023-2024
211,Furman ,SoCon ,31,15,16,404,518,0.78,2023-2024
212,Iona ,MAAC ,30,11,19,386,495,0.78,2023-2024
213,Siena ,MAAC ,30,18,12,400,514,0.78,2023-2024
214,James Madison ,Sun Belt ,35,23,12,460,592,0.78,2023-2024
215,UTRGV ,WAC ,29,6,23,339,437,0.78,2023-2024
216,CSU Bakersfield ,Big West ,29,8,21,302,391,0.77,2023-2024
217,Quinnipiac ,MAAC ,31,13,18,393,510,0.77,2023-2024
218,High Point ,Big South ,32,20,12,374,486,0.77,2023-2024
219,Little Rock ,OVC ,30,12,18,338,440,0.77,2023-2024
220,Kansas City ,Summit League ,32,12,20,394,513,0.77,2023-2024
221,Oakland ,Horizon ,29,12,17,329,429,0.77,2023-2024
222,Wisconsin ,Big Ten ,32,15,17,450,591,0.76,2023-2024
223,Pittsburgh ,ACC ,32,8,24,425,560,0.76,2023-2024
224,Brown ,Ivy League ,27,16,11,314,414,0.76,2023-2024
225,Army West Point ,Patriot ,29,12,17,316,418,0.76,2023-2024
226,Bradley ,MVC ,32,6,26,393,520,0.76,2023-2024
227,N.C. A&T ,CAA ,34,22,12,433,573,0.76,2023-2024
228,Northeastern ,CAA ,27,10,17,347,460,0.75,2023-2024
229,Fordham ,Atlantic 10 ,29,12,17,356,473,0.75,2023-2024
230,Akron ,MAC ,29,11,18,355,472,0.75,2023-2024
231,Wichita St. ,AAC ,32,10,22,398,530,0.75,2023-2024
232,Morehead St. ,OVC ,30,15,15,397,532,0.75,2023-2024
233,Idaho St. ,Big Sky ,30,11,19,336,451,0.75,2023-2024
234,Presbyterian ,Big South ,36,21,15,467,627,0.74,2023-2024
235,Delaware ,CAA ,31,11,20,404,545,0.74,2023-2024
236,ETSU ,SoCon ,30,18,12,303,409,0.74,2023-2024
237,Hawaii ,Big West ,31,20,11,335,456,0.73,2023-2024
238,Grambling ,SWAC ,33,23,10,451,614,0.73,2023-2024
239,Lafayette ,Patriot ,30,10,20,340,463,0.73,2023-2024
240,Massachusetts ,Atlantic 10 ,32,5,27,395,540,0.73,2023-2024
241,Jacksonville St. ,CUSA ,29,12,17,335,458,0.73,2023-2024
242,App State ,Sun Belt ,32,17,15,410,564,0.73,2023-2024
243,Marist ,MAAC ,31,6,25,394,542,0.73,2023-2024
244,Samford ,SoCon ,30,14,16,318,438,0.73,2023-2024
245,East Carolina ,AAC ,33,19,14,412,568,0.73,2023-2024
246,Bucknell ,Patriot ,31,13,18,342,473,0.72,2023-2024
247,Southern U. ,SWAC ,30,15,15,355,493,0.72,2023-2024
248,Old Dominion ,Sun Belt ,32,22,10,384,536,0.72,2023-2024
249,Montana St. ,Big Sky ,33,17,16,371,518,0.72,2023-2024
250,Mount St. Mary's ,MAAC ,31,14,17,342,480,0.71,2023-2024
251,Seattle U ,WAC ,29,6,23,369,518,0.71,2023-2024
252,UT Martin ,OVC ,33,16,17,392,552,0.71,2023-2024
253,Niagara ,MAAC ,35,21,14,483,681,0.71,2023-2024
254,North Florida ,ASUN ,30,9,21,358,505,0.71,2023-2024
255,La Salle ,Atlantic 10 ,30,8,22,350,494,0.71,2023-2024
256,Houston ,Big 12 ,30,14,16,328,463,0.71,2023-2024
257,Western Caro. ,SoCon ,30,6,24,377,533,0.71,2023-2024
258,UTEP ,CUSA ,31,12,19,355,504,0.7,2023-2024
259,IU Indy ,Horizon ,30,7,23,393,559,0.7,2023-2024
260,Kentucky ,SEC ,32,12,20,371,529,0.7,2023-2024
261,Ga. Southern ,Sun Belt ,33,15,18,420,599,0.7,2023-2024
262,Dayton ,Atlantic 10 ,31,12,19,391,562,0.7,2023-2024
263,Monmouth ,CAA ,32,22,10,387,561,0.69,2023-2024
264,Rider ,MAAC ,31,10,21,382,554,0.69,2023-2024
265,Austin Peay ,ASUN ,33,17,16,387,562,0.69,2023-2024
266,UMES ,MEAC ,30,15,15,347,506,0.69,2023-2024
267,VCU ,Atlantic 10 ,32,26,6,338,495,0.68,2023-2024
268,Southeast Mo. St. ,OVC ,29,9,20,329,483,0.68,2023-2024
269,Sacramento St. ,Big Sky ,31,6,25,367,540,0.68,2023-2024
270,Memphis ,AAC ,30,13,17,330,487,0.68,2023-2024
271,Central Ark. ,ASUN ,33,21,12,340,502,0.68,2023-2024
272,Charlotte ,AAC ,31,16,15,378,561,0.67,2023-2024
273,Rutgers ,Big Ten ,32,8,24,397,590,0.67,2023-2024
274,FIU ,CUSA ,33,21,12,401,600,0.67,2023-2024
275,New Mexico St. ,CUSA ,31,13,18,350,527,0.66,2023-2024
276,Weber St. ,Big Sky ,33,8,25,346,521,0.66,2023-2024
277,Evansville ,MVC ,32,4,28,390,588,0.66,2023-2024
278,UMass Lowell ,America East ,29,4,25,311,471,0.66,2023-2024
279,Cal Poly ,Big West ,31,17,14,388,589,0.66,2023-2024
280,Robert Morris ,Horizon ,30,6,24,322,490,0.66,2023-2024
281,San Jose St. ,Mountain West ,31,7,24,411,626,0.66,2023-2024
282,Cornell ,Ivy League ,26,7,19,277,422,0.66,2023-2024
283,Indiana St. ,MVC ,32,11,21,372,569,0.65,2023-2024
284,Elon ,CAA ,32,11,21,355,543,0.65,2023-2024
285,N.C. Central ,MEAC ,31,16,15,402,615,0.65,2023-2024
286,Portland St. ,Big Sky ,31,8,23,317,486,0.65,2023-2024
287,Dartmouth ,Ivy League ,26,7,19,270,414,0.65,2023-2024
287,Texas St. ,Sun Belt ,32,14,18,375,575,0.65,2023-2024
289,LIU ,NEC ,30,8,22,366,562,0.65,2023-2024
290,Alcorn ,SWAC ,32,12,20,369,569,0.65,2023-2024
291,UNC Asheville ,Big South ,31,11,20,314,487,0.64,2023-2024
292,Prairie View ,SWAC ,29,11,18,358,557,0.64,2023-2024
293,Howard ,MEAC ,31,15,16,326,510,0.64,2023-2024
294,Alabama A&M ,SWAC ,31,15,16,346,542,0.64,2023-2024
295,McNeese ,Southland ,31,6,25,375,588,0.64,2023-2024
296,Fla. Atlantic ,AAC ,30,11,19,327,515,0.63,2023-2024
297,George Washington ,Atlantic 10 ,31,13,18,320,507,0.63,2023-2024
298,Sam Houston ,CUSA ,29,7,22,330,530,0.62,2023-2024
299,Valparaiso ,MVC ,30,5,25,341,548,0.62,2023-2024
300,Radford ,Big South ,33,15,18,351,565,0.62,2023-2024
301,New Hampshire ,America East ,29,9,20,300,483,0.62,2023-2024
302,Merrimack ,NEC ,31,12,19,343,556,0.62,2023-2024
303,Hofstra ,CAA ,32,11,21,365,594,0.61,2023-2024
304,Miami OH,MAC ,29,9,20,336,547,0.61,2023-2024
305,Louisiana ,Sun Belt ,31,17,14,280,458,0.61,2023-2024
306,New Orleans ,Southland ,30,11,19,311,511,0.61,2023-2024
307,Ohio ,MAC ,30,11,19,338,557,0.61,2023-2024
