Rank TOPG,Team,Conference,Games,Wins,Losses,Turnovers,Turnovers Per Game,Season
257,New Mexico St. ,CUSA ,31,13,18,527,17,2023-2024
259,Austin Peay ,ASUN ,33,17,16,562,17,2023-2024
260,New Orleans ,Southland ,30,11,19,511,17,2023-2024
261,Northeastern ,CAA ,27,10,17,460,17,2023-2024
262,Duke ,ACC ,34,22,12,581,17.1,2023-2024
263,San Diego ,WCC ,31,9,22,530,17.1,2023-2024
264,Radford ,Big South ,33,15,18,565,17.1,2023-2024
264,UTSA ,AAC ,33,18,15,565,17.1,2023-2024
266,Siena ,MAAC ,30,18,12,514,17.1,2023-2024
267,Fla. Atlantic ,AAC ,30,11,19,515,17.2,2023-2024
268,East Carolina ,AAC ,33,19,14,568,17.2,2023-2024
269,Northwestern St. ,Southland ,30,11,19,517,17.2,2023-2024
270,UIC ,MVC ,34,18,16,586,17.2,2023-2024
271,Pacific ,WCC ,34,19,15,588,17.3,2023-2024
272,Northern Colo. ,Big Sky ,31,15,16,537,17.3,2023-2024
273,Presbyterian ,Big South ,36,21,15,627,17.4,2023-2024
274,Sacramento St. ,Big Sky ,31,6,25,540,17.4,2023-2024
275,Alabama A&M ,SWAC ,31,15,16,542,17.5,2023-2024
275,Marist ,MAAC ,31,6,25,542,17.5,2023-2024
277,Pittsburgh ,ACC ,32,8,24,560,17.5,2023-2024
278,Monmouth ,CAA ,32,22,10,561,17.5,2023-2024
279,Delaware ,CAA ,31,11,20,545,17.6,2023-2024
280,Hampton ,CAA ,29,3,26,510,17.6,2023-2024
281,App State ,Sun Belt ,32,17,15,564,17.6,2023-2024
282,Kennesaw St. ,ASUN ,30,11,19,529,17.6,2023-2024
283,North Dakota ,Summit League ,30,9,21,531,17.7,2023-2024
284,Eastern Ill. ,OVC ,33,15,18,585,17.7,2023-2024
285,Morehead St. ,OVC ,30,15,15,532,17.7,2023-2024
286,Portland ,WCC ,34,21,13,603,17.7,2023-2024
287,Drake ,MVC ,35,29,6,621,17.7,2023-2024
288,Western Caro. ,SoCon ,30,6,24,533,17.8,2023-2024
289,Alcorn ,SWAC ,32,12,20,569,17.8,2023-2024
289,Indiana St. ,MVC ,32,11,21,569,17.8,2023-2024
291,North Ala. ,ASUN ,30,12,18,535,17.8,2023-2024
292,SIUE ,OVC ,31,5,26,553,17.8,2023-2024
293,Houston Christian ,Southland ,29,6,23,518,17.9,2023-2024
293,Seattle U ,WAC ,29,6,23,518,17.9,2023-2024
295,Utah St. ,Mountain West ,30,5,25,536,17.9,2023-2024
296,Rider ,MAAC ,31,10,21,554,17.9,2023-2024
297,NJIT ,America East ,30,12,18,537,17.9,2023-2024
298,CSUN ,Big West ,30,3,27,538,17.9,2023-2024
299,Merrimack ,NEC ,31,12,19,556,17.9,2023-2024
300,Texas St. ,Sun Belt ,32,14,18,575,18,2023-2024
301,Charlotte ,AAC ,31,16,15,561,18.1,2023-2024
302,Dayton ,Atlantic 10 ,31,12,19,562,18.1,2023-2024
303,Ga. Southern ,Sun Belt ,33,15,18,599,18.2,2023-2024
304,FIU ,CUSA ,33,21,12,600,18.2,2023-2024
305,Longwood ,Big South ,30,9,21,548,18.3,2023-2024
305,Valparaiso ,MVC ,30,5,25,548,18.3,2023-2024
307,Sam Houston ,CUSA ,29,7,22,530,18.3,2023-2024
308,Evansville ,MVC ,32,4,28,588,18.4,2023-2024
309,Gardner-Webb ,Big South ,30,6,24,552,18.4,2023-2024
310,Rutgers ,Big Ten ,32,8,24,590,18.4,2023-2024
311,Morgan St. ,MEAC ,30,8,22,554,18.5,2023-2024
312,Wisconsin ,Big Ten ,32,15,17,591,18.5,2023-2024
313,UCF ,Big 12 ,29,12,17,537,18.5,2023-2024
314,Hofstra ,CAA ,32,11,21,594,18.6,2023-2024
315,Ohio ,MAC ,30,11,19,557,18.6,2023-2024
316,Tennessee St. ,OVC ,30,11,19,558,18.6,2023-2024
317,Grambling ,SWAC ,33,23,10,614,18.6,2023-2024
318,IU Indy ,Horizon ,30,7,23,559,18.6,2023-2024
319,Delaware St. ,MEAC ,28,8,20,523,18.7,2023-2024
320,Eastern Mich. ,MAC ,29,7,22,542,18.7,2023-2024
321,LIU ,NEC ,30,8,22,562,18.7,2023-2024
322,Mississippi Val. ,SWAC ,31,4,27,582,18.8,2023-2024
323,Miami OH,MAC ,29,9,20,547,18.9,2023-2024
324,USC Upstate ,Big South ,32,16,16,606,18.9,2023-2024
325,McNeese ,Southland ,31,6,25,588,19,2023-2024
326,Cal Poly ,Big West ,31,17,14,589,19,2023-2024
327,Detroit Mercy ,Horizon ,33,17,16,628,19,2023-2024
328,UNCW ,CAA ,30,5,25,571,19,2023-2024
329,Xavier ,Big East ,28,1,27,533,19,2023-2024
330,Winthrop ,Big South ,30,14,16,574,19.1,2023-2024
331,South Alabama ,Sun Belt ,32,9,23,614,19.2,2023-2024
332,Prairie View ,SWAC ,29,11,18,557,19.2,2023-2024
333,Providence ,Big East ,34,13,21,654,19.2,2023-2024
334,Coastal Carolina ,Sun Belt ,33,12,21,635,19.2,2023-2024
335,Niagara ,MAAC ,35,21,14,681,19.5,2023-2024
336,Florida A&M ,SWAC ,30,9,21,593,19.8,2023-2024
337,N.C. Central ,MEAC ,31,16,15,615,19.8,2023-2024
338,Charleston So. ,Big South ,30,11,19,597,19.9,2023-2024
339,Pepperdine ,WCC ,30,5,25,602,20.1,2023-2024
340,San Jose St. ,Mountain West ,31,7,24,626,20.2,2023-2024
341,Long Beach St. ,Big West ,33,15,18,668,20.2,2023-2024
342,Texas Southern ,SWAC ,29,7,22,589,20.3,2023-2024
343,Wagner ,NEC ,28,7,21,571,20.4,2023-2024
344,Jacksonville ,ASUN ,31,11,20,645,20.8,2023-2024
345,Central Mich. ,MAC ,28,6,22,586,20.9,2023-2024
346,Chicago St. ,DI Independent ,27,1,26,569,21.1,2023-2024
347,Saint Peter's ,MAAC ,30,7,23,664,22.1,2023-2024
348,South Carolina St. ,MEAC ,30,2,28,667,22.2,2023-2024
349,Alabama St. ,SWAC ,29,3,26,665,22.9,2023-2024
