Rank ScrOf,Team,Conference,Games,Wins,Losses,Points,Points Per Game,Season
122,SIUE ,OVC ,31,5,26,"2,110",68.1,2023-2024
123,North Ala. ,ASUN ,30,12,18,"2,040",68,2023-2024
124,Long Beach St. ,Big West ,33,15,18,"2,242",67.9,2023-2024
125,Portland ,WCC ,34,21,13,"2,309",67.9,2023-2024
126,Lipscomb ,ASUN ,30,17,13,"2,037",67.9,2023-2024
127,North Carolina ,ACC ,33,20,13,"2,236",67.8,2023-2024
128,Georgia Tech ,ACC ,33,17,16,"2,234",67.7,2023-2024
129,Houston ,Big 12 ,30,14,16,"2,030",67.7,2023-2024
130,Memphis ,AAC ,30,13,17,"2,028",67.6,2023-2024
131,Southern Miss. ,Sun Belt ,34,20,14,"2,294",67.5,2023-2024
132,Delaware ,CAA ,31,11,20,"2,090",67.4,2023-2024
133,Bowling Green ,MAC ,31,16,15,"2,088",67.4,2023-2024
134,Rice ,AAC ,34,19,15,"2,284",67.2,2023-2024
135,UTEP ,CUSA ,31,12,19,"2,077",67,2023-2024
136,Norfolk St. ,MEAC ,33,27,6,"2,210",67,2023-2024
137,North Dakota ,Summit League ,30,9,21,"2,006",66.9,2023-2024
138,A&M-Corpus Christi ,Southland ,32,23,9,"2,139",66.8,2023-2024
139,Towson ,CAA ,31,20,11,"2,072",66.8,2023-2024
140,San Francisco ,WCC ,30,14,16,"2,005",66.8,2023-2024
141,Lamar University ,Southland ,31,24,7,"2,066",66.6,2023-2024
141,Miami FL,ACC ,31,19,12,"2,066",66.6,2023-2024
143,Wofford ,SoCon ,30,17,13,"1,999",66.6,2023-2024
144,Coastal Carolina ,Sun Belt ,33,12,21,"2,197",66.6,2023-2024
145,Bethune-Cookman ,SWAC ,31,15,16,"2,058",66.4,2023-2024
146,Auburn ,SEC ,32,20,12,"2,124",66.4,2023-2024
147,Arkansas St. ,Sun Belt ,30,13,17,"1,990",66.3,2023-2024
148,San Diego St. ,Mountain West ,35,22,13,"2,321",66.3,2023-2024
149,Morehead St. ,OVC ,30,15,15,"1,989",66.3,2023-2024
150,Sam Houston ,CUSA ,29,7,22,"1,921",66.2,2023-2024
151,California ,Pac-12 ,34,19,15,"2,250",66.2,2023-2024
152,Furman ,SoCon ,31,15,16,"2,051",66.2,2023-2024
153,Milwaukee ,Horizon ,32,16,16,"2,117",66.2,2023-2024
154,Northwestern ,Big Ten ,30,9,21,"1,984",66.1,2023-2024
155,Sacred Heart ,NEC ,34,24,10,"2,242",65.9,2023-2024
156,Buffalo ,MAC ,33,19,14,"2,175",65.9,2023-2024
157,Rutgers ,Big Ten ,32,8,24,"2,106",65.8,2023-2024
158,N.C. Central ,MEAC ,31,16,15,"2,038",65.7,2023-2024
159,Southern Utah ,WAC ,30,8,22,"1,972",65.7,2023-2024
160,Liberty ,CUSA ,34,18,16,"2,234",65.7,2023-2024
161,Central Ark. ,ASUN ,33,21,12,"2,168",65.7,2023-2024
162,Eastern Ill. ,OVC ,33,15,18,"2,167",65.7,2023-2024
163,Southern Ill. ,MVC ,31,11,20,"2,035",65.6,2023-2024
164,East Carolina ,AAC ,33,19,14,"2,166",65.6,2023-2024
165,Penn ,Ivy League ,28,15,13,"1,836",65.6,2023-2024
166,BYU ,Big 12 ,33,16,17,"2,158",65.4,2023-2024
167,Saint Joseph's ,Atlantic 10 ,34,28,6,"2,221",65.3,2023-2024
168,Jacksonville ,ASUN ,31,11,20,"2,025",65.3,2023-2024
169,McNeese ,Southland ,31,6,25,"2,020",65.2,2023-2024
170,Northern Colo. ,Big Sky ,31,15,16,"2,017",65.1,2023-2024
171,Davidson ,Atlantic 10 ,26,18,8,"1,689",65,2023-2024
172,UC Santa Barbara ,Big West ,31,16,15,"2,012",64.9,2023-2024
173,Texas Tech ,Big 12 ,33,17,16,"2,141",64.9,2023-2024
174,Texas St. ,Sun Belt ,32,14,18,"2,076",64.9,2023-2024
175,Villanova ,Big East ,35,22,13,"2,269",64.8,2023-2024
176,Mercer ,SoCon ,32,15,17,"2,073",64.8,2023-2024
177,New Mexico ,Mountain West ,32,21,11,"2,071",64.7,2023-2024
178,UTSA ,AAC ,33,18,15,"2,132",64.6,2023-2024
179,Charlotte ,AAC ,31,16,15,"2,000",64.5,2023-2024
180,Kansas City ,Summit League ,32,12,20,"2,064",64.5,2023-2024
181,IU Indy ,Horizon ,30,7,23,"1,934",64.5,2023-2024
182,NIU ,MAC ,31,15,16,"1,997",64.4,2023-2024
183,Kentucky ,SEC ,32,12,20,"2,060",64.4,2023-2024
183,Seton Hall ,Big East ,32,17,15,"2,060",64.4,2023-2024
183,Tulane ,AAC ,32,12,20,"2,060",64.4,2023-2024
