Rank APG,Team,Conference,Games,Wins,losses,Assist,AssistPerGame,Season
161,Middle Tenn. ,CUSA ,35,30,5,460,13.1,2023-2024
163,Vermont ,America East ,37,25,12,486,13.1,2023-2024
164,Washington ,Pac-12 ,31,16,15,407,13.1,2023-2024
165,Seton Hall ,Big East ,32,17,15,420,13.1,2023-2024
166,IU Indy ,Horizon ,30,7,23,393,13.1,2023-2024
167,Delaware ,CAA ,31,11,20,404,13,2023-2024
167,Furman ,SoCon ,31,15,16,404,13,2023-2024
169,Florida St. ,ACC ,34,23,11,443,13,2023-2024
169,Southern Miss. ,Sun Belt ,34,20,14,443,13,2023-2024
171,Mercer ,SoCon ,32,15,17,416,13,2023-2024
172,Presbyterian ,Big South ,36,21,15,467,13,2023-2024
173,Alabama ,SEC ,34,24,10,441,13,2023-2024
174,N.C. Central ,MEAC ,31,16,15,402,13,2023-2024
175,Miami ,FL  ,31,19,12,401,12.9,2023-2024
176,Western Mich. ,MAC ,30,12,18,388,12.9,2023-2024
177,Lamar University ,Southland ,31,24,7,400,12.9,2023-2024
178,Texas Tech ,Big 12 ,33,17,16,425,12.9,2023-2024
179,Iona ,MAAC ,30,11,19,386,12.9,2023-2024
180,Northeastern ,CAA ,27,10,17,347,12.9,2023-2024
181,Nicholls ,Southland ,32,14,18,411,12.8,2023-2024
182,LMU ,CA  ,30,11,19,385,12.8,2023-2024
183,App State ,Sun Belt ,32,17,15,410,12.8,2023-2024
184,Auburn ,SEC ,32,20,12,408,12.8,2023-2024
185,N.C. A&T ,CAA ,34,22,12,433,12.7,2023-2024
186,Ga. Southern ,Sun Belt ,33,15,18,420,12.7,2023-2024
187,Seattle U ,WAC ,29,6,23,369,12.7,2023-2024
188,Marist ,MAAC ,31,6,25,394,12.7,2023-2024
189,Quinnipiac ,MAAC ,31,13,18,393,12.7,2023-2024
190,Purdue Fort Wayne ,Horizon ,36,23,13,456,12.7,2023-2024
191,Norfolk St. ,MEAC ,33,27,6,417,12.6,2023-2024
192,Western Ky. ,CUSA ,32,15,17,404,12.6,2023-2024
193,Dayton ,Atlantic 10 ,31,12,19,391,12.6,2023-2024
194,Denver ,Summit League ,30,8,22,378,12.6,2023-2024
195,Syracuse ,ACC ,32,24,8,403,12.6,2023-2024
195,Wake Forest ,ACC ,32,7,25,403,12.6,2023-2024
197,Western Caro. ,SoCon ,30,6,24,377,12.6,2023-2024
198,Col. of Charleston ,CAA ,32,22,10,402,12.6,2023-2024
199,North Carolina ,ACC ,33,20,13,414,12.5,2023-2024
200,Cal Poly ,Big West ,31,17,14,388,12.5,2023-2024
201,East Carolina ,AAC ,33,19,14,412,12.5,2023-2024
202,Northern Ky. ,Horizon ,31,11,20,387,12.5,2023-2024
203,Oregon ,Pac-12 ,32,11,21,399,12.5,2023-2024
204,Georgetown ,Big East ,35,23,12,436,12.5,2023-2024
205,Ole Miss ,SEC ,33,24,9,411,12.5,2023-2024
206,Wichita St. ,AAC ,32,10,22,398,12.4,2023-2024
207,Rutgers ,Big Ten ,32,8,24,397,12.4,2023-2024
208,Air Force ,Mountain West ,32,15,17,396,12.4,2023-2024
209,Yale ,Ivy League ,27,8,19,334,12.4,2023-2024
210,Prairie View ,SWAC ,29,11,18,358,12.3,2023-2024
211,Massachusetts ,Atlantic 10 ,32,5,27,395,12.3,2023-2024
212,Navy ,Patriot ,31,14,17,382,12.3,2023-2024
212,Rider ,MAAC ,31,10,21,382,12.3,2023-2024
214,Kansas City ,Summit League ,32,12,20,394,12.3,2023-2024
215,Bradley ,MVC ,32,6,26,393,12.3,2023-2024
216,Fordham ,Atlantic 10 ,29,12,17,356,12.3,2023-2024
217,Jackson St. ,SWAC ,33,26,7,404,12.2,2023-2024
218,Akron ,MAC ,29,11,18,355,12.2,2023-2024
219,Omaha ,Summit League ,31,8,23,379,12.2,2023-2024
220,LIU ,NEC ,30,8,22,366,12.2,2023-2024
221,Charlotte ,AAC ,31,16,15,378,12.2,2023-2024
221,FDU ,NEC ,31,14,17,378,12.2,2023-2024
223,Evansville ,MVC ,32,4,28,390,12.2,2023-2024
224,FIU ,CUSA ,33,21,12,401,12.2,2023-2024
225,George Mason ,Atlantic 10 ,31,23,8,376,12.1,2023-2024
226,McNeese ,Southland ,31,6,25,375,12.1,2023-2024
226,Southeastern La. ,Southland ,31,19,12,375,12.1,2023-2024
228,Monmouth ,CAA ,32,22,10,387,12.1,2023-2024
229,Long Beach St. ,Big West ,33,15,18,398,12.1,2023-2024
230,Old Dominion ,Sun Belt ,32,22,10,384,12,2023-2024
231,Loyola Maryland ,Patriot ,31,16,15,371,12,2023-2024
232,Florida ,SEC ,32,16,16,382,11.9,2023-2024
233,North Florida ,ASUN ,30,9,21,358,11.9,2023-2024
234,UC Irvine ,Big West ,32,23,9,381,11.9,2023-2024
